KW;Burgenland;Kärnten;Niederösterreich;Oberösterreich;Salzburg;Steiermark;Tirol;Vorarlberg;Wien;Österreich
4;0;0;0;0;0;1;0;0;0;1
5;0;0;0;0;0;1;0;0;1;2
6;0;0;0;1;0;5;0;0;0;6
7;0;1;0;0;0;20;0;0;1;22
8;0;0;0;3;0;7;0;0;1;11
9;0;0;0;1;0;20;0;0;0;21
10;0;0;0;0;0;18;0;0;0;18
11;0;0;0;0;0;15;0;0;0;15
12;0;0;0;0;0;6;0;0;0;6
13;0;0;0;0;0;3;0;0;0;3
14;1;1;2;0;0;6;0;0;0;10
15;0;0;0;0;0;0;0;0;0;0
16;0;1;2;0;0;0;0;0;1;4
17;0;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;1
19;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;1;1
23;0;0;0;1;0;0;0;0;0;1
24;0;0;0;0;0;0;0;0;5;5
25;0;0;0;0;0;0;0;0;1;1
26;0;0;0;0;0;0;0;0;5;5
27;0;0;0;0;0;1;0;0;2;3
28;0;0;0;0;0;0;0;0;2;2
29;0;0;0;0;0;0;0;0;1;1
Summe;1;4;4;6;0;103;0;0;21;139
