;2022/23;2023/24
KW 27;1734055677751856,5;81830007841344,1
KW 28;2285585552291350;66746942006839,16
KW 29;1896329036309279;127222182040185,92
KW 30;1540644196669677,2;230876477849253,84
KW 31;792788729088194,2;308183148949830,56
KW 32;689484477024696,5;509325661727804,3
KW 33;508849468169789,44;633711364292941,1
KW 34;562164250732550,9;659772849764642,4
KW 35;615479033295312,2;415952148613157,25
KW 36;610505044215480,4;366250668988976,1
KW 37;938220942352621,4;497151542980338,56
KW 38;1062426235037276,6;433482385921265,25
KW 39;1722297221705744,5;557800145316417,1
KW 40;1453231757725471;728351223112899,1
KW 41;925804976995643,5;970433808238582,2
KW 42;645471854038615,4;943651127745803,8
KW 43;345606396651623,56;637319433103096,4
KW 44;319428792132050,94;1206289574368896
KW 45;644544158193502,4;1775259715634695,8
KW 46;1262786747335475,5;856386341255943
KW 47;1350190183805901,5;2688890190400597
KW 48;1059175732768979;3881514652860423
KW 49;1001066429594848,8;3492332633581257
KW 50;1078210126410485;3103150614302090,5
KW 51;1143439130788286,5;2117178626274456,5
KW 52;948593823622327,1;1131206638246822,5
KW 1;740698225692806,1;789170687780392,2
KW 2;644294684326920,6;447134737313961,9
KW 3;547891142961035,1;254324967033191,84
KW 4;784211390337158,9;255227025256156,72
KW 5;976285210588144,8;147759746003834,16
KW 6;1075499897668085,6;123396532542823,55
KW 7;1720685555576678,5;46490863398953,79
KW 8;1587205627445181,2;82358417683554,83
KW 9;1354909930384726,5;27793433578729,94
KW 10;1241032446036086,8;55014481468483,31
KW 11;1195539097675365;42063950324138,29
KW 12;1096364389798712,5;71237683694188,7
KW 13;777738297898309;63310904388237,47
KW 14;516287424281261,3;72594154064623,98
KW 15;455811727079710,8;59676018854142,54
KW 16;348754109017210;83957840886186,62
KW 17;308741923582828,8;150678807819681,9
KW 18;237559526495253,8;77403691503137,17
KW 19;196716628976344,7;90281210160778,23
KW 20;155873731457435,6;186508088452631,06
KW 21;110870242448269,27;110347556855315,58
KW 22;103321921568071,6;
KW 23;94086124166510,97;
KW 24;77189713092976,16;
KW 25;72766378912149,77;
KW 26;66263020919096,88;110347556855315,58
