;2023/24;2024/25;2025/26
KW 27;81830007841344,1;431513395803286,56;74606432421247,66
KW 28;66746942006839,16;431914084313419,3;
KW 29;127222182040185,92;544359599304514,9;149666745190597,94
KW 30;230876477849253,84;527160271631299,94;
KW 31;308183148949830,56;528996284860100,8;250687241664597,66
KW 32;509325661727804,3;400581764752918,5;
KW 33;633711364292941,1;648020283174805,2;242836807830518,22
KW 34;659772849764642,4;436556381207499,4;
KW 35;415952148613157,25;384508597732902,4;383574483691714,44
KW 36;366250668988976,1;523241751388525,25;
KW 37;497151542980338,56;675671943446714,5;524312159552910,6
KW 38;433482385921265,25;828102135504903,8;536149686721471,5
KW 39;557800145316417,1;1014048047270994,8;412911571140508
KW 40;728351223112899,1;1058140632592764,9;380354733961144,06
KW 41;970433808238582,2;994821263717752,9;377931928042652,75
KW 42;943651127745803,8;752633733153066,8;493168611512138,4
KW 43;637319433103096,4;533691282840848,2;396034000965289,6
KW 44;1206289574368896;354870012389594,56;317420912975078
KW 45;1775259715634695,8;158161234923428,47;252650304392760,12
KW 46;856386341255943;153616223434702,84;241569828819793,2
KW 47;2688890190400597;278109582996683,16;347993023189113
KW 48;3881514652860423;299494523936177,9;348289860225183,94
KW 49;3492332633581257;186607497356062,3;265339557163215,78
KW 50;3103150614302090,5;162198356496804;359200276991195,9
KW 51;2117178626274456,5;201225368827786;264222602195925,88
KW 52;1131206638246822,5;250904306501756,97;303679989482297,06
KW 1;789170687780392,2;199325765049847,25;118946847127512,64
KW 2;447134737313961,9;106138944875609,66;116562178194854,34
KW 3;254324967033191,84;79445341595851,92;127072682605530,25
KW 4;255227025256156,72;108068042193830,25;73620640779348,9
KW 5;147759746003834,16;92745648579075,53;92360751823342,72
KW 6;123396532542823,55;87991539300000;91736496250427,78
KW 7;46490863398953,79;51862873453615,15;74514100000000
KW 8;82358417683554,83;43777650237520,75;68398697741081,945
KW 9;27793433578729,94;40826591140135,91;62283295482163,89
KW 10;55014481468483,31;51261327550380,89;63858708318608,05
KW 11;42063950324138,29;29799265591236,57;
KW 12;71237683694188,7;31115929155154,438;
KW 13;63310904388237,47;50616705718346,445;
KW 14;72594154064623,98;70117482281538,45;
KW 15;59676018854142,54;78476234746429,66;
KW 16;83957840886186,62;69242676634384,6;
KW 17;150678807819681,9;81794463264122,31;
KW 18;77403691503137,17;117961869186130,97;
KW 19;90281210160778,23;134835703448328,52;
KW 20;186508088452631,06;151981794547926,44;
KW 21;110347556855315,58;131869190655614,02;
KW 22;125903075189828,47;;
KW 23;264472115774337,6;130093425633674,5;
KW 24;284251973283158,8;;
KW 25;304031830791980;128317660611734,98;
KW 26;532110110252900,6;128317660611734,98;63858708318608,05
