;2023/24;2024/25;2025/26
KW 27;1473340000000;;
KW 28;682059000000;1071920000000;
KW 29;788271000000;;3043770000000
KW 30;2161640000000;0;
KW 31;4687510000000;;
KW 32;387564000000;961536000000;
KW 33;1175890000000;;2487800000000
KW 34;3020090000000;0;
KW 35;1496700000000;;
KW 36;3262010000000;2170740000000;
KW 37;1448380000000;;2596440000000
KW 38;770955000000;0;
KW 39;963623000000;;2345220000000
KW 40;802367000000;1305000000000;1231780000000
KW 41;1443710000000;;
KW 42;1069110000000;2796920000000;
KW 43;1558860000000;1329090000000;
KW 44;1674240000000;0;
KW 45;1789620000000;0;
KW 46;6542320000000;0;
KW 47;13618800000000;4499620000000;
KW 48;28638100000000;0;
KW 49;40600000000000;9154300000000;
KW 50;52700000000000;10158100000000;
KW 51;67300000000000;43600000000000;
KW 52;82000000000000;34200000000000;
KW 1;94756000000000;101860000000000;
KW 2;107473000000000;54644800000000;
KW 3;113000000000000;116000000000000;
KW 4;164300000000000;132371000000000;
KW 5;98811300000000;158244000000000;
KW 6;57447800000000;134640000000000;
KW 7;37303500000000;110732000000000;
KW 8;31518300000000;170334000000000;
KW 9;9935240000000;118604000000000;
KW 10;9195730000000;80209900000000;
KW 11;15118000000000;37021500000000;
KW 12;21449300000000;18827200000000;
KW 13;9585100000000;14049000000000;
KW 14;11591900000000;9269770000000;
KW 15;6573690000000;10089800000000;
KW 16;7575320000000;5228750000000;
KW 17;8727120000000;0;
KW 18;2312220000000;2651690000000;
KW 19;2321820000000;1108380000000;
KW 20;3761380000000;0;
KW 21;3998540000000;2306750000000;
KW 22;912666000000;;
KW 23;639118000000;;
KW 24;773840000000;;
KW 25;908553000000;0;
KW 26;0;0;1231780000000
