;2023/24;2024/25;2025/26
KW 27;3225695333907,499;;
KW 28;1324257457716,9111;497676393273,0084;
KW 29;2262441136171,029;;914408671500,7266
KW 30;3591890793632,8086;913748162739,3556;
KW 31;4352692457922,1743;;
KW 32;1235955896208,669;892854945545,337;
KW 33;2855728006263,2344;;1374439667605,3972
KW 34;2509563263067,2417;1956820413875,587;
KW 35;1653252048802,8196;;
KW 36;6901785835116,142;0;
KW 37;11782991071651,639;;0
KW 38;5428811460972,498;3877068821691,6265;
KW 39;1711973128641,0762;;0
KW 40;3969347431936,5522;3745530569047,414;12291036146426,795
KW 41;2165566156174,3213;;4708702001207,931
KW 42;1153339483398,256;1242108413405,3962;512430752090,72845
KW 43;2116787577843,2937;2580511878932,2686;507214466074,29236
KW 44;2439143206007,238;579649845092,6594;3056867823407,316
KW 45;2761498834171,182;1147873239007,5762;2098563497261,0566
KW 46;4337555256969,6006;2174878110089,311;3693900592560,265
KW 47;11687401614632,396;1021341349691,6272;2224302686414,2803
KW 48;40775215227367,016;3187058020330,896;5895081169486,26
KW 49;36232244581876,42;3175992061277,612;13216146525370,902
KW 50;31689273936385,83;5271138332442,478;7356883955393,698
KW 51;38259184042591,54;12775143410887,275;10274041203467,936
KW 52;44829094148797,25;13182400648295,125;9775420153182,668
KW 1;58385670287458,65;25001969832072,676;3797004560165,607
KW 2;71942246426120,05;20753778579904,85;4229675375378,6953
KW 3;94237400000000;17569530047247,094;14392549723956,473
KW 4;121254441064369,4;26173951759782,85;16191005584931,994
KW 5;76397319289723,83;26574467470412,664;6325866500574,758
KW 6;96079377949444,84;20240028900000,004;26358632029078,324
KW 7;37374556723341,71;40157927223987,73;34360500000000
KW 8;86786508209135,62;36306677306097,484;25641405828349,04
KW 9;29335599073167,016;29294404681720,89;16922311656698,078
KW 10;26997961378348,832;42869544220870,6;19453225231950,285
KW 11;28130188264981,145;24868841647959,246;11030227962923,406
KW 12;15573538774213,684;17481760834704,43;6287400553893,507
KW 13;9426581744061,36;19997028299352,215;16787804056389,879
KW 14;15462014389882,78;22512295764000;4896436428349,286
KW 15;11036284685516,887;9369101495237,01;11150035932325,098
KW 16;12551271633957,77;12521473208999,998;5475527609147,891
KW 17;8103752021999,198;6597491303763,873;1057943286781,3313
KW 18;1622224879652,4968;2462285543479,848;
KW 19;348761002202,0088;3181185039454,8975;
KW 20;2083371784393,3748;1270884545953,657;
KW 21;0;1583203980310,2356;
KW 22;810628540906,8652;;
KW 23;1238390482725,6433;;
KW 24;1041023634219,9646;;
KW 25;843656785714,2859;980309085771,8829;
KW 26;0;980309085771,8829;1057943286781,3313
