Datum;Vollständig geimpft;Unvollständig/nicht geimpft;;;;;;;;;;;;;;
01.07.2021;0,219987314;1,80889166;;;;;;;;;;;;;;
02.07.2021;0,292302791;1,604152831;;;;;;;;;;;;;;
03.07.2021;0,289468485;1,735971721;;;;;;;;;;;;;;
04.07.2021;0,284039064;1,675490919;;;;;;;;;;;;;;
05.07.2021;0,069922295;1,259506411;;;;;;;;;;;;;;
06.07.2021;0,137396326;1,651188738;;;;;;;;;;;;;;
07.07.2021;0,135091687;1,94401008;;;;;;;;;;;;;;
08.07.2021;0,201381342;2,334708764;;;;;;;;;;;;;;
09.07.2021;0,267505922;2,474564569;;;;;;;;;;;;;;
10.07.2021;0,46309405;2,399156507;;;;;;;;;;;;;;
11.07.2021;0,522716952;2,587148083;;;;;;;;;;;;;;
12.07.2021;0,770745581;2,812815186;;;;;;;;;;;;;;
13.07.2021;1,133062447;3,077344867;;;;;;;;;;;;;;
14.07.2021;1,426031145;3,474992362;;;;;;;;;;;;;;
15.07.2021;1,722860638;3,538189597;;;;;;;;;;;;;;
16.07.2021;1,717121418;4,161211269;;;;;;;;;;;;;;
17.07.2021;1,949925903;4,98166596;;;;;;;;;;;;;;
18.07.2021;2,176631204;6,311722099;;;;;;;;;;;;;;
19.07.2021;2,15893996;6,917890924;;;;;;;;;;;;;;
20.07.2021;2,07878105;6,453299088;;;;;;;;;;;;;;
21.07.2021;2,063282647;7,081791397;;;;;;;;;;;;;;
22.07.2021;1,939219;7,976058531;;;;;;;;;;;;;;
23.07.2021;2,288725679;7,506104965;;;;;;;;;;;;;;
24.07.2021;2,276978694;6,6021015;;;;;;;;;;;;;;
25.07.2021;2,148767914;6,533700138;;;;;;;;;;;;;;
26.07.2021;2,192984987;6,833485481;;;;;;;;;;;;;;
27.07.2021;2,242189849;6,913104055;;;;;;;;;;;;;;
28.07.2021;2,400124806;7,586595569;;;;;;;;;;;;;;
29.07.2021;2,565100834;7,283321194;;;;;;;;;;;;;;
30.07.2021;2,334029178;9,325322089;;;;;;;;;;;;;;
31.07.2021;2,21630324;10,84897854;;;;;;;;;;;;;;
01.08.2021;2,324448836;11,11815261;;;;;;;;;;;;;;
02.08.2021;2,654956238;12,93969166;;;;;;;;;;;;;;
03.08.2021;2,984091415;15,54702786;;;;;;;;;;;;;;
04.08.2021;2,971768202;15,76719923;;;;;;;;;;;;;;
05.08.2021;3,077842555;17,4232554;;;;;;;;;;;;;;
06.08.2021;3,466111493;17,09504652;;;;;;;;;;;;;;
07.08.2021;3,571099759;19,75156057;;;;;;;;;;;;;;
08.08.2021;3,726259003;21,16854315;;;;;;;;;;;;;;
09.08.2021;4,268463043;21,21744074;;;;;;;;;;;;;;
10.08.2021;4,480400736;23,00042571;;;;;;;;;;;;;;
11.08.2021;5,131110919;25,25231955;;;;;;;;;;;;;;
12.08.2021;5,836917623;24,61588956;;;;;;;;;;;;;;
13.08.2021;6,325785663;26,97910252;;;;;;;;;;;;;;
14.08.2021;6,371994863;27,9473596;;;;;;;;;;;;;;
15.08.2021;7,070248122;29,43816941;;;;;;;;;;;;;;
16.08.2021;6,670184004;30,55964188;;;;;;;;;;;;;;
17.08.2021;7,038921965;29,5210789;;;;;;;;;;;;;;
18.08.2021;7,133867847;31,24959868;;;;;;;;;;;;;;
19.08.2021;6,963776935;33,94681093;;;;;;;;;;;;;;
20.08.2021;7,337127987;35,16265424;;;;;;;;;;;;;;
21.08.2021;8,526866963;36,55808842;;;;;;;;;;;;;;
22.08.2021;8,186092101;39,22209511;;;;;;;;;;;;;;
23.08.2021;8,495234282;42,81743087;;;;;;;;;;;;;;
24.08.2021;8,643485918;46,85994182;;;;;;;;;;;;;;
25.08.2021;8,846464219;47,59056106;;;;;;;;;;;;;;
26.08.2021;9,810305348;49,7407015;;;;;;;;;;;;;;
27.08.2021;10,23805636;52,71434187;;;;;;;;;;;;;;
28.08.2021;9,744117326;54,26179297;;;;;;;;;;;;;;
29.08.2021;10,37805144;51,59714571;;;;;;;;;;;;;;
30.08.2021;11,59853601;53,48890445;;;;;;;;;;;;;;
31.08.2021;12,97580174;54,73116735;;;;;;;;;;;;;;
01.09.2021;13,60249858;56,39446784;;;;;;;;;;;;;;
02.09.2021;15,03679734;58,88197843;;;;;;;;;;;;;;
03.09.2021;17,28052661;62,62072332;;;;;;;;;;;;;;
04.09.2021;19,14382197;61,59709502;;;;;;;;;;;;;;
05.09.2021;20,62702964;65,71244788;;;;;;;;;;;;;;
06.09.2021;22,10738958;66,38195154;;;;;;;;;;;;;;
07.09.2021;23,90147896;70,83671206;;;;;;;;;;;;;;
08.09.2021;25,96233915;74,58097881;;;;;;;;;;;;;;
09.09.2021;26,96671849;77,02572987;;;;;;;;;;;;;;
10.09.2021;26,64334841;78,2428621;;;;;;;;;;;;;;
11.09.2021;27,53919941;80,94924131;;;;;;;;;;;;;;
12.09.2021;27,14774602;86,3716381;;;;;;;;;;;;;;
13.09.2021;26,86533181;88,25521331;;;;;;;;;;;;;;
14.09.2021;27,05797423;92,09912612;;;;;;;;;;;;;;
15.09.2021;28,52724511;97,60012918;;;;;;;;;;;;;;
16.09.2021;27,55572734;101,1757816;;;;;;;;;;;;;;
17.09.2021;27,5005017;98,35323816;;;;;;;;;;;;;;
18.09.2021;26,58981626;99,44269168;;;;;;;;;;;;;;
19.09.2021;27,36683331;94,7316296;;;;;;;;;;;;;;
20.09.2021;27,93413058;94,97860583;;;;;;;;;;;;;;
21.09.2021;28,01934977;90,24488853;;;;;;;;;;;;;;
22.09.2021;26,41349237;88,57652457;;;;;;;;;;;;;;
23.09.2021;26,98675427;84,84388483;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
