Kalenderwoche;BQ.1*;BA.2.75*;CH.1.1*;XBB*;XBB.1.16*;XBB.1.5*;XBB.1.9*;XBB.2.3*;andere
49;42,7;6,2;3,3;2,7;0;0,1;0;0;45
50;46,7;7,4;3,8;2,1;0;0,4;0;0;39,6
51;47,7;10,6;3,1;2,4;0;1,1;0;0;35
52;44,6;12,4;5,3;2,5;0;1,7;0;0;33,4
1;47,1;13,6;5,6;2,3;0;4;0;0;27,4
2;45,9;12,6;10,2;2,3;0;7,3;0,2;0;21,5
3;43,8;14,2;10,2;2,4;0;11,7;0,3;0;17,5
4;38,2;13,4;11,9;2,4;0;19,1;1,3;0;13,7
5;30,4;13,5;11,5;1,8;0;31,8;1;0;9,9
6;25,6;9,7;12,4;2,8;0;37;3,6;0;8,8
7;21,2;8,2;13,5;1;0;44,7;4,5;0;7
8;14,2;6,1;11,7;1,2;0;54,4;5,8;0;6,5
9;12,6;5,3;8,7;1;0;61;6,4;0,2;4,9
10;8,1;4,7;8,1;1,2;0,1;65,4;8,8;0;3,5
11;5,7;3,2;9,6;0,8;0,1;67,8;9,9;0,1;2,8
12;4,4;2,5;7,4;1,2;0,2;68,6;12,5;0,3;2,8
13;3,6;2,3;6,3;1,6;0,3;62,7;20,3;0;2,8
14;2,7;1,4;4,9;2,1;1,9;56,8;27;0,7;2,5
15;1,8;1,5;4;2,7;2,4;52,3;32,6;1,3;1,4
16;1,2;1,1;5,2;1,8;3,8;51;33,5;1,4;1,1
17;0,8;0,6;2,8;1,3;7,3;53,5;29;4;0,8
18;1,2;0;3,4;2,9;7,6;49,1;32,2;2;1,5
19;1;1,8;2,8;4,6;9,9;38,8;33,2;6,1;1,8
20;0,3;1;3,1;4,5;10,8;35;37,4;6,6;1
21;0;1,5;1,9;3,8;12,3;36;35,6;8;0,8
