FileDate;Datum;B;B;B;K;K;K;N;N;N;O;O;O;S;S;S;St;St;St;T;T;T;V;V;V;W;W;W;Ö;Ö;Ö
21.02.2023;22.02.2023;39;43;47;77;84;92;311;332;355;169;183;198;77;85;92;165;179;193;100;109;118;38;42;47;258;277;298;1279;1334;1391
21.02.2023;23.02.2023;37;43;50;75;85;97;305;338;374;167;186;207;75;85;97;163;181;202;99;111;124;37;43;49;253;280;310;1274;1352;1436
21.02.2023;24.02.2023;37;44;52;75;88;102;305;342;383;164;188;214;74;86;101;161;184;209;97;112;130;36;43;51;252;284;320;1282;1370;1463
21.02.2023;25.02.2023;36;44;54;75;89;107;302;346;396;162;189;221;73;87;104;159;186;217;96;114;135;35;43;53;248;287;331;1259;1385;1525
21.02.2023;26.02.2023;36;45;55;75;90;108;303;350;404;163;191;223;74;88;106;160;188;219;97;115;137;35;43;53;250;290;337;1249;1400;1569
21.02.2023;27.02.2023;37;45;56;76;91;110;308;354;406;164;192;224;74;89;107;161;189;222;98;116;138;35;43;53;254;293;339;1269;1413;1575
21.02.2023;28.02.2023;36;46;58;75;92;114;304;357;420;161;193;231;73;90;111;160;191;229;97;117;143;34;43;55;251;296;351;1265;1426;1608
21.02.2023;01.03.2023;35;46;61;74;93;117;302;361;432;159;193;236;72;91;115;158;193;235;95;118;147;33;43;57;249;299;361;1238;1438;1671
21.02.2023;02.03.2023;35;46;61;74;94;119;299;364;444;156;194;241;72;92;116;156;194;241;95;119;150;33;43;57;246;302;371;1255;1449;1674
21.02.2023;03.03.2023;35;47;63;72;94;124;296;368;456;153;194;247;71;93;121;154;195;248;93;120;155;32;43;58;243;305;383;1234;1459;1726
21.02.2023;04.03.2023;34;47;65;71;95;126;292;371;471;150;195;252;70;93;124;151;197;256;92;121;159;31;43;59;239;307;395;1206;1469;1788
21.02.2023;05.03.2023;34;48;66;71;95;128;290;373;480;149;195;255;70;94;126;151;198;259;92;122;161;31;43;59;238;310;403;1197;1477;1822
21.02.2023;06.03.2023;34;48;68;70;96;132;289;376;490;147;195;258;69;94;130;149;199;265;90;122;166;30;43;61;237;312;410;1189;1484;1853
21.02.2023;07.03.2023;32;48;73;67;96;138;282;378;508;142;194;266;66;95;136;146;200;274;87;123;173;28;43;64;232;314;423;1145;1490;1941
21.02.2023;08.03.2023;32;48;73;67;97;139;280;380;516;140;194;269;66;95;137;144;200;278;87;123;175;28;42;64;229;315;433;1156;1496;1936
14.02.2023;15.02.2023;25;28;31;43;47;52;211;226;243;173;187;203;58;64;70;106;115;125;52;57;63;15;17;20;174;188;204;887;931;976
14.02.2023;16.02.2023;24;28;33;42;48;55;207;231;257;172;192;214;56;64;73;103;116;129;50;58;66;15;18;21;171;190;212;885;945;1009
14.02.2023;17.02.2023;24;29;35;42;50;59;203;231;262;171;196;223;55;65;76;101;116;134;49;58;69;14;18;22;169;192;219;882;954;1031
14.02.2023;18.02.2023;24;29;36;41;51;62;200;232;270;170;199;233;54;65;79;98;116;137;48;59;71;14;18;23;166;194;227;876;964;1061
14.02.2023;19.02.2023;24;29;37;42;51;63;200;234;274;173;202;236;54;66;80;99;117;138;49;59;72;15;18;24;168;197;230;874;974;1085
14.02.2023;20.02.2023;24;30;37;43;53;64;204;238;278;175;205;239;55;66;80;98;117;139;49;60;73;15;19;24;170;199;232;885;986;1098
14.02.2023;21.02.2023;23;30;39;42;53;68;203;242;288;173;207;248;54;67;83;97;117;142;48;61;76;14;19;26;168;201;239;884;997;1124
14.02.2023;22.02.2023;23;31;41;41;54;71;203;246;298;172;210;256;52;67;86;95;117;145;47;61;79;14;19;27;166;203;247;874;1009;1165
14.02.2023;23.02.2023;23;31;42;42;55;72;202;249;308;171;213;264;52;68;87;94;118;147;48;62;80;14;20;28;165;205;254;868;1020;1200
14.02.2023;24.02.2023;23;31;43;42;56;75;200;253;320;169;215;274;51;68;90;91;118;152;47;63;83;14;20;28;163;207;263;867;1032;1228
14.02.2023;25.02.2023;23;32;44;42;57;78;198;256;332;169;218;282;51;68;92;90;118;155;47;63;86;14;21;29;162;209;271;871;1042;1248
14.02.2023;26.02.2023;23;32;45;42;58;79;200;260;338;169;221;289;51;69;93;89;118;156;47;64;87;14;21;30;161;211;277;864;1053;1284
14.02.2023;27.02.2023;22;33;47;42;59;83;199;263;349;169;223;296;50;69;96;87;118;160;46;64;90;14;21;31;161;213;283;857;1064;1321
14.02.2023;28.02.2023;21;33;51;40;59;89;197;267;363;165;226;309;47;69;101;84;118;166;44;65;96;13;22;35;158;215;294;851;1075;1358
14.02.2023;01.03.2023;21;33;52;40;60;91;196;271;374;165;229;316;47;70;102;84;118;167;44;66;98;13;22;36;157;217;300;854;1085;1379
07.02.2023;08.02.2023;33;36;40;44;49;54;140;151;164;97;106;115;59;65;71;105;114;124;39;43;48;16;18;20;142;154;166;701;736;772
07.02.2023;09.02.2023;32;36;42;43;49;57;136;151;168;94;106;120;57;65;74;101;114;127;38;43;50;15;18;21;139;155;173;687;738;793
07.02.2023;10.02.2023;30;37;44;41;49;58;132;151;172;92;107;123;55;65;76;98;113;131;36;43;52;14;18;22;137;157;179;683;739;801
07.02.2023;11.02.2023;30;37;45;40;49;59;128;151;178;90;107;127;54;65;78;96;113;134;36;44;54;14;18;23;135;159;187;678;742;812
07.02.2023;12.02.2023;30;37;45;40;49;60;128;151;178;91;108;128;53;65;78;96;113;134;36;44;54;14;18;23;137;161;189;668;745;830
07.02.2023;13.02.2023;30;37;46;40;49;60;129;151;178;91;108;129;53;65;78;95;113;135;36;44;54;14;18;23;138;163;191;671;748;833
