group;week;zscore
Total;2016-48;1.94
Total;2016-49;3.76
Total;2016-50;5.6
Total;2016-51;9.61
Total;2016-52;15.62
Total;2017-01;22.75
Total;2017-02;25.61
Total;2017-03;20.32
Total;2017-04;20.22
Total;2017-05;21.06
Total;2017-06;14.45
Total;2017-07;12.19
Total;2017-08;9.36
Total;2017-09;5.83
Total;2017-10;1.72
Total;2017-11;-0.83
Total;2017-12;-2.67
Total;2017-13;-2.19
Total;2017-14;-3.04
Total;2017-15;-2.8
Total;2017-16;-3.03
Total;2017-17;1.4
Total;2017-18;1.04
Total;2017-19;1.39
Total;2017-20;1.16
Total;2017-21;0.83
Total;2017-22;-0.48
Total;2017-23;-2.81
Total;2017-24;1.39
Total;2017-25;5.27
Total;2017-26;0.8
Total;2017-27;3.17
Total;2017-28;-0.02
Total;2017-29;1.92
Total;2017-30;0.75
Total;2017-31;4.04
Total;2017-32;1.9
Total;2017-33;0.54
Total;2017-34;0.91
Total;2017-35;-0.35
Total;2017-36;-2.84
Total;2017-37;-1.04
Total;2017-38;0.63
Total;2017-39;1.85
Total;2017-40;1.54
Total;2017-41;2.6
Total;2017-42;0.17
Total;2017-43;-1.53
Total;2017-44;-2.03
Total;2017-45;-1.35
Total;2017-46;0.87
Total;2017-47;1.13
Total;2017-48;0.91
Total;2017-49;4.19
Total;2017-50;6.64
Total;2017-51;7.64
Total;2017-52;11.22
Total;2018-01;16.02
Total;2018-02;12.98
Total;2018-03;12.52
Total;2018-04;9.35
Total;2018-05;8.61
Total;2018-06;9.76
Total;2018-07;13.35
Total;2018-08;15.78
Total;2018-09;23.15
Total;2018-10;25.07
Total;2018-11;17.6
Total;2018-12;13.22
Total;2018-13;9.85
Total;2018-14;7.42
Total;2018-15;4.84
Total;2018-16;1.28
Total;2018-17;-2.64
Total;2018-18;-2.94
Total;2018-19;-2.26
Total;2018-20;-3.02
Total;2018-21;-1.09
Total;2018-22;0.54
Total;2018-23;-1.13
Total;2018-24;-3.13
Total;2018-25;-0.6
Total;2018-26;2.92
Total;2018-27;3.63
Total;2018-28;0.8
Total;2018-29;3.5
Total;2018-30;7.7
Total;2018-31;11.82
Total;2018-32;7.99
Total;2018-33;1
Total;2018-34;0.89
Total;2018-35;-1.46
Total;2018-36;-0.59
Total;2018-37;-1.61
Total;2018-38;-0.1
Total;2018-39;-2.24
Total;2018-40;0.2
Total;2018-41;1.27
Total;2018-42;-3.01
Total;2018-43;-3.17
Total;2018-44;-0.56
Total;2018-45;-0.05
Total;2018-46;-3.19
Total;2018-47;-2.12
Total;2018-48;-0.68
Total;2018-49;-0.32
Total;2018-50;-1.19
Total;2018-51;2.04
Total;2018-52;0.84
Total;2019-01;5.36
Total;2019-02;8.91
Total;2019-03;8.59
Total;2019-04;9.17
Total;2019-05;10.11
Total;2019-06;10.45
Total;2019-07;8.61
Total;2019-08;7.39
Total;2019-09;7.32
Total;2019-10;4.91
Total;2019-11;3.17
Total;2019-12;-0.26
Total;2019-13;-1.2
Total;2019-14;1.02
Total;2019-15;-1.13
Total;2019-16;1.3
Total;2019-17;1.09
Total;2019-18;-1
Total;2019-19;0.04
Total;2019-20;0.72
Total;2019-21;0.76
Total;2019-22;0.36
Total;2019-23;1.56
Total;2019-24;0.85
Total;2019-25;1.54
Total;2019-26;5.72
Total;2019-27;3.74
Total;2019-28;1.02
Total;2019-29;1.49
Total;2019-30;11.2
Total;2019-31;1.82
Total;2019-32;1.09
Total;2019-33;-1.22
Total;2019-34;0.23
Total;2019-35;3.65
Total;2019-36;-2.39
Total;2019-37;-1.2
Total;2019-38;-0.43
Total;2019-39;1.31
Total;2019-40;0
Total;2019-41;2.19
Total;2019-42;1.2
Total;2019-43;0.64
Total;2019-44;0.42
Total;2019-45;0.82
Total;2019-46;2.11
Total;2019-47;2.39
Total;2019-48;1.37
Total;2019-49;2.27
Total;2019-50;3.12
Total;2019-51;4.43
Total;2019-52;1.04
Total;2020-01;4.3
Total;2020-02;6.97
Total;2020-03;4.64
Total;2020-04;2.92
Total;2020-05;5.46
Total;2020-06;1.91
Total;2020-07;2.69
Total;2020-08;-0.66
Total;2020-09;1.34
Total;2020-10;2.51
Total;2020-11;5.78
Total;2020-12;15.81
Total;2020-13;33.44
Total;2020-14;49.66
Total;2020-15;48.5
Total;2020-16;35.63
Total;2020-17;23.37
Total;2020-18;13.05
Total;2020-19;8.65
Total;2020-20;2.9
Total;2020-21;3.3
Total;2020-22;-0.03
Total;2020-23;0.13
Total;2020-24;-1.17
Total;2020-25;-1.2
Total;2020-26;3.61
