country;group;week;zscore
Austria;65P;2017-03;7.13
Austria;65P;2017-04;5.63
Austria;65P;2017-05;6.66
Austria;65P;2017-06;4.37
Austria;65P;2017-07;3.01
Austria;65P;2017-08;3.69
Austria;65P;2017-09;2.12
Austria;65P;2017-10;1.7
Austria;65P;2017-11;0.61
Austria;65P;2017-12;0.62
Austria;65P;2017-13;-0.07
Austria;65P;2017-14;0.99
Austria;65P;2017-15;1.29
Austria;65P;2017-16;-0.09
Austria;65P;2017-17;0.16
Austria;65P;2017-18;1.49
Austria;65P;2017-19;-0.13
Austria;65P;2017-20;1.55
Austria;65P;2017-21;-1.95
Austria;65P;2017-22;0.83
Austria;65P;2017-23;-1.74
Austria;65P;2017-24;0.79
Austria;65P;2017-25;1.09
Austria;65P;2017-26;0.95
Austria;65P;2017-27;0.27
Austria;65P;2017-28;-0.3
Austria;65P;2017-29;1.58
Austria;65P;2017-30;0.16
Austria;65P;2017-31;4
Austria;65P;2017-32;-1.7
Austria;65P;2017-33;-0.84
Austria;65P;2017-34;1.46
Austria;65P;2017-35;-1.94
Austria;65P;2017-36;-1.9
Austria;65P;2017-37;-0.04
Austria;65P;2017-38;-0.41
Austria;65P;2017-39;0.28
Austria;65P;2017-40;0.08
Austria;65P;2017-41;1.01
Austria;65P;2017-42;-0.58
Austria;65P;2017-43;-0.29
Austria;65P;2017-44;0.39
Austria;65P;2017-45;-0.33
Austria;65P;2017-46;-0.45
Austria;65P;2017-47;0.17
Austria;65P;2017-48;-0.22
Austria;65P;2017-49;0.7
Austria;65P;2017-50;-0.23
Austria;65P;2017-51;1.01
Austria;65P;2017-52;0.78
Austria;65P;2018-01;2.7
Austria;65P;2018-02;3.26
Austria;65P;2018-03;2.7
Austria;65P;2018-04;1.26
Austria;65P;2018-05;3.68
Austria;65P;2018-06;0.09
Austria;65P;2018-07;3.45
Austria;65P;2018-08;5.29
Austria;65P;2018-09;6.51
Austria;65P;2018-10;5.96
Austria;65P;2018-11;5.73
Austria;65P;2018-12;1.75
Austria;65P;2018-13;3.53
Austria;65P;2018-14;1.76
Austria;65P;2018-15;0.93
Austria;65P;2018-16;0.75
Austria;65P;2018-17;-1.92
Austria;65P;2018-18;-0.6
Austria;65P;2018-19;-1.63
Austria;65P;2018-20;-2.21
Austria;65P;2018-21;-1.45
Austria;65P;2018-22;-0.55
Austria;65P;2018-23;0.02
Austria;65P;2018-24;-0.8
Austria;65P;2018-25;-0.1
Austria;65P;2018-26;0.15
Austria;65P;2018-27;0.59
Austria;65P;2018-28;0.13
Austria;65P;2018-29;1.32
Austria;65P;2018-30;1.09
Austria;65P;2018-31;3.33
Austria;65P;2018-32;2.11
Austria;65P;2018-33;0.31
Austria;65P;2018-34;0.47
Austria;65P;2018-35;-0.28
Austria;65P;2018-36;-1.79
Austria;65P;2018-37;-0.07
Austria;65P;2018-38;-0.91
Austria;65P;2018-39;-0.73
Austria;65P;2018-40;1.08
Austria;65P;2018-41;-0.38
Austria;65P;2018-42;-0.07
Austria;65P;2018-43;-0.82
Austria;65P;2018-44;0.25
Austria;65P;2018-45;-1.12
Austria;65P;2018-46;-0.59
Austria;65P;2018-47;-1.01
Austria;65P;2018-48;-0.57
Austria;65P;2018-49;0.23
Austria;65P;2018-50;0.19
Austria;65P;2018-51;0.46
Austria;65P;2018-52;1.31
Austria;65P;2019-01;0.57
Austria;65P;2019-02;1.41
Austria;65P;2019-03;0.15
Austria;65P;2019-04;1.45
Austria;65P;2019-05;1.84
Austria;65P;2019-06;1.83
Austria;65P;2019-07;2.91
Austria;65P;2019-08;2.2
Austria;65P;2019-09;2.51
Austria;65P;2019-10;3.36
Austria;65P;2019-11;3.08
Austria;65P;2019-12;0.6
Austria;65P;2019-13;1.4
Austria;65P;2019-14;0.84
Austria;65P;2019-15;0.91
Austria;65P;2019-16;0.69
Austria;65P;2019-17;-0.13
Austria;65P;2019-18;-0.51
Austria;65P;2019-19;-0.09
Austria;65P;2019-20;0.91
Austria;65P;2019-21;0.31
Austria;65P;2019-22;0.74
Austria;65P;2019-23;1.63
Austria;65P;2019-24;2.29
Austria;65P;2019-25;-0.43
Austria;65P;2019-26;0.14
Austria;65P;2019-27;0.94
Austria;65P;2019-28;-1.19
Austria;65P;2019-29;0.27
Austria;65P;2019-30;2.35
Austria;65P;2019-31;0.22
Austria;65P;2019-32;-0.18
Austria;65P;2019-33;-0.53
Austria;65P;2019-34;-0.13
Austria;65P;2019-35;0.86
Austria;65P;2019-36;-0.79
Austria;65P;2019-37;-0.95
Austria;65P;2019-38;-0.8
Austria;65P;2019-39;1.52
Austria;65P;2019-40;0.33
Austria;65P;2019-41;1.27
Austria;65P;2019-42;-0.3
Austria;65P;2019-43;-0.48
Austria;65P;2019-44;-0.57
Austria;65P;2019-45;-0.31
Austria;65P;2019-46;-0.09
Austria;65P;2019-47;-0.71
Austria;65P;2019-48;-0.34
Austria;65P;2019-49;0.11
Austria;65P;2019-50;0.43
Austria;65P;2019-51;-0.61
Austria;65P;2019-52;-0.05
Austria;65P;2020-01;-0.51
Austria;65P;2020-02;0.64
Austria;65P;2020-03;2.23
Austria;65P;2020-04;1.47
Austria;65P;2020-05;4.25
Austria;65P;2020-06;1.16
Austria;65P;2020-07;3.46
Austria;65P;2020-08;1.11
Austria;65P;2020-09;1.9
Austria;65P;2020-10;1.62
Austria;65P;2020-11;1.52
Austria;65P;2020-12;3.1
Austria;65P;2020-13;2.16
Austria;65P;2020-14;3.57
Austria;65P;2020-15;3.45
Austria;65P;2020-16;2.19
Austria;65P;2020-17;0.44
Austria;65P;2020-18;-1.16
Austria;65P;2020-19;-0.3
Austria;65P;2020-20;-0.49
Austria;65P;2020-21;-0.17
Austria;65P;2020-22;-1.85
Austria;65P;2020-23;-0.2
Austria;65P;2020-24;-0.42
Austria;65P;2020-25;-1.1
Austria;65P;2020-26;-0.47
Austria;65P;2020-27;1.43
Austria;65P;2020-28;-1.17
Austria;65P;2020-29;0.1
Austria;65P;2020-30;-0.24
Austria;65P;2020-31;0.96
Austria;65P;2020-32;-0.99
Austria;65P;2020-33;2.15
Austria;65P;2020-34;0.17
Austria;65P;2020-35;0.31
Austria;65P;2020-36;0.28
Austria;65P;2020-37;0.47
Austria;65P;2020-38;0.94
Austria;65P;2020-39;0.05
Austria;65P;2020-40;0.67
Austria;65P;2020-41;0.86
Austria;65P;2020-42;0.62
Austria;65P;2020-43;3.06
Austria;65P;2020-44;4.5
Austria;65P;2020-45;5.98
Austria;65P;2020-46;10.17
Austria;65P;2020-47;11.02
Austria;65P;2020-48;11.32
Austria;65P;2020-49;12.16
Austria;65P;2020-50;10.85
Austria;65P;2020-51;8.23
Austria;65P;2020-52;6.45
Austria;65P;2020-53;4.61
Austria;65P;2021-01;4.05
Austria;65P;2021-02;3.74
Austria;65P;2021-03;4.39
Austria;65P;2021-04;3.58
Austria;65P;2021-05;2.34
Austria;65P;2021-06;0.84
Austria;65P;2021-07;0.57
Austria;65P;2021-08;-0.19
Austria;65P;2021-09;-1.25
Austria;65P;2021-10;1.4
Austria;65P;2021-11;0.59
Austria;65P;2021-12;0.32
Austria;65P;2021-13;2.04
Austria;65P;2021-14;0.86
Austria;65P;2021-15;1.31
Austria;65P;2021-16;1.35
Austria;65P;2021-17;1.31
Austria;65P;2021-18;1.85
Austria;65P;2021-19;0.38
Austria;65P;2021-20;0.19
Austria;65P;2021-21;-0.84
Austria;65P;2021-22;0.96
Austria;65P;2021-23;0.73
Austria;65P;2021-24;1.42
Austria;65P;2021-25;1.92
Austria;65P;2021-26;0
Austria;65P;2021-27;-0.62
Austria;65P;2021-28;-0.54
Austria;65P;2021-29;1.19
Austria;65P;2021-30;0.74
Austria;65P;2021-31;-0.48
Austria;65P;2021-32;1.89
Austria;65P;2021-33;0.94
Austria;65P;2021-34;1.17
Austria;65P;2021-35;0.13
Austria;65P;2021-36;1.68
Austria;65P;2021-37;0.37
Austria;65P;2021-38;0.26
Austria;65P;2021-39;1.45
Austria;65P;2021-40;0.52
Austria;65P;2021-41;0.98
Austria;65P;2021-42;1.77
Austria;65P;2021-43;3.81
Austria;65P;2021-44;4.35
Austria;65P;2021-45;5.35
Austria;65P;2021-46;5.67
Austria;65P;2021-47;6.62
Austria;65P;2021-48;6.42
Austria;65P;2021-49;5.24
Austria;65P;2021-50;2.86
Austria;65P;2021-51;1.72
Austria;65P;2021-52;1.67
Austria;65P;2022-01;0.43
Austria;65P;2022-02;-1.03
Austria;65P;2022-03;0.79
Austria;65P;2022-04;0.5
Austria;65P;2022-05;0.76
Austria;65P;2022-06;2.14
Austria;65P;2022-07;2.32
Austria;65P;2022-08;2.02
Austria;65P;2022-09;3.41
Austria;65P;2022-10;2.27
Austria;65P;2022-11;3.26
Austria;65P;2022-12;4.96
Austria;65P;2022-13;4.19
Austria;65P;2022-14;4.49
Austria;65P;2022-15;2.41
Austria;65P;2022-16;0.88
Austria;65P;2022-17;1.77
Austria;65P;2022-18;0.93
Austria;65P;2022-19;-0.11
Austria;65P;2022-20;0.87
Austria;65P;2022-21;-0.12
Austria;65P;2022-22;0.32
Austria;65P;2022-23;0.64
Austria;65P;2022-24;1.64
Austria;65P;2022-25;1.85
Austria;65P;2022-26;1.66
Austria;65P;2022-27;1.33
Austria;65P;2022-28;0.93
Austria;65P;2022-29;4.67
Austria;65P;2022-30;3.29
Austria;65P;2022-31;2.22
Austria;65P;2022-32;0.54
Austria;65P;2022-33;2.12
Austria;65P;2022-34;0.27
Austria;65P;2022-35;-1.49
Austria;65P;2022-36;-0.52
Austria;65P;2022-37;0.01
Austria;65P;2022-38;0.56
Austria;65P;2022-39;2.57
Austria;65P;2022-40;3.67
Austria;65P;2022-41;2.19
Austria;65P;2022-42;2.4
Austria;65P;2022-43;1.94
Austria;65P;2022-44;1.12
Austria;65P;2022-45;0.67
Austria;65P;2022-46;0.66
Austria;65P;2022-47;0.41
