country;group;week;zscore
Austria;Total;2019-02;1.93
Austria;Total;2019-03;0.58
Austria;Total;2019-04;1.68
Austria;Total;2019-05;2.03
Austria;Total;2019-06;2.89
Austria;Total;2019-07;3.38
Austria;Total;2019-08;2.44
Austria;Total;2019-09;2.77
Austria;Total;2019-10;3.75
Austria;Total;2019-11;3.29
Austria;Total;2019-12;0.92
Austria;Total;2019-13;1.68
Austria;Total;2019-14;0.99
Austria;Total;2019-15;0.31
Austria;Total;2019-16;0.7
Austria;Total;2019-17;-0.04
Austria;Total;2019-18;-1.11
Austria;Total;2019-19;-0.32
Austria;Total;2019-20;0.89
Austria;Total;2019-21;0.28
Austria;Total;2019-22;0.5
Austria;Total;2019-23;1.49
Austria;Total;2019-24;1.97
Austria;Total;2019-25;-0.26
Austria;Total;2019-26;0.49
Austria;Total;2019-27;1.5
Austria;Total;2019-28;-1.78
Austria;Total;2019-29;-0.16
Austria;Total;2019-30;1.77
Austria;Total;2019-31;0.04
Austria;Total;2019-32;-0.56
Austria;Total;2019-33;-0.88
Austria;Total;2019-34;0.05
Austria;Total;2019-35;0.68
Austria;Total;2019-36;-0.86
Austria;Total;2019-37;-1.15
Austria;Total;2019-38;-0.43
Austria;Total;2019-39;1.49
Austria;Total;2019-40;0.42
Austria;Total;2019-41;1.06
Austria;Total;2019-42;-0.59
Austria;Total;2019-43;-0.17
Austria;Total;2019-44;-0.68
Austria;Total;2019-45;-0.13
Austria;Total;2019-46;-0.35
Austria;Total;2019-47;-0.58
Austria;Total;2019-48;-0.23
Austria;Total;2019-49;0.02
Austria;Total;2019-50;0.8
Austria;Total;2019-51;-0.42
Austria;Total;2019-52;0.04
Austria;Total;2020-01;-0.25
Austria;Total;2020-02;0.96
Austria;Total;2020-03;2.53
Austria;Total;2020-04;2.14
Austria;Total;2020-05;4.3
Austria;Total;2020-06;1.47
Austria;Total;2020-07;3.87
Austria;Total;2020-08;1.4
Austria;Total;2020-09;2.24
Austria;Total;2020-10;2.21
Austria;Total;2020-11;1.92
Austria;Total;2020-12;3.63
Austria;Total;2020-13;2.61
Austria;Total;2020-14;3.9
Austria;Total;2020-15;3.56
Austria;Total;2020-16;2.17
Austria;Total;2020-17;0.57
Austria;Total;2020-18;-1.13
Austria;Total;2020-19;-0.28
Austria;Total;2020-20;-0.64
Austria;Total;2020-21;-0.72
Austria;Total;2020-22;-1.59
Austria;Total;2020-23;-0.21
Austria;Total;2020-24;-0.7
Austria;Total;2020-25;-1.5
Austria;Total;2020-26;-0.93
Austria;Total;2020-27;1.36
Austria;Total;2020-28;-1.62
Austria;Total;2020-29;-0.49
Austria;Total;2020-30;-0.52
Austria;Total;2020-31;0.89
Austria;Total;2020-32;-1.02
Austria;Total;2020-33;1.87
Austria;Total;2020-34;-0.27
Austria;Total;2020-35;-0.05
Austria;Total;2020-36;0.22
Austria;Total;2020-37;0.87
Austria;Total;2020-38;0.65
Austria;Total;2020-39;-0.23
Austria;Total;2020-40;0.42
Austria;Total;2020-41;0.8
Austria;Total;2020-42;0.47
Austria;Total;2020-43;3.06
Austria;Total;2020-44;4.44
Austria;Total;2020-45;5.96
Austria;Total;2020-46;9.57
Austria;Total;2020-47;11.34
Austria;Total;2020-48;11.24
Austria;Total;2020-49;12.34
Austria;Total;2020-50;11.45
Austria;Total;2020-51;8.34
Austria;Total;2020-52;6.46
Austria;Total;2020-53;4.74
Austria;Total;2021-01;4.02
Austria;Total;2021-02;3.98
Austria;Total;2021-03;4.45
Austria;Total;2021-04;3.71
Austria;Total;2021-05;2.64
Austria;Total;2021-06;1.48
Austria;Total;2021-07;0.96
Austria;Total;2021-08;0.23
Austria;Total;2021-09;-0.97
Austria;Total;2021-10;1.64
Austria;Total;2021-11;1.03
Austria;Total;2021-12;0.46
Austria;Total;2021-13;2.35
Austria;Total;2021-14;1.02
Austria;Total;2021-15;1.64
Austria;Total;2021-16;1.69
Austria;Total;2021-17;1.77
Austria;Total;2021-18;1.53
Austria;Total;2021-19;0.73
Austria;Total;2021-20;-0.41
Austria;Total;2021-21;-0.63
Austria;Total;2021-22;1.17
Austria;Total;2021-23;0.49
Austria;Total;2021-24;1.17
Austria;Total;2021-25;1.99
Austria;Total;2021-26;0.1
Austria;Total;2021-27;-0.66
Austria;Total;2021-28;-0.62
Austria;Total;2021-29;1.29
Austria;Total;2021-30;0.35
Austria;Total;2021-31;-0.67
Austria;Total;2021-32;1.78
Austria;Total;2021-33;1.62
Austria;Total;2021-34;0.82
Austria;Total;2021-35;0.25
Austria;Total;2021-36;1.59
Austria;Total;2021-37;0.44
Austria;Total;2021-38;0.45
Austria;Total;2021-39;1.63
Austria;Total;2021-40;0.54
Austria;Total;2021-41;0.76
Austria;Total;2021-42;1.57
Austria;Total;2021-43;4.03
Austria;Total;2021-44;4.62
Austria;Total;2021-45;5.78
Austria;Total;2021-46;6.48
Austria;Total;2021-47;6.82
Austria;Total;2021-48;7.17
Austria;Total;2021-49;5.89
Austria;Total;2021-50;3.25
Austria;Total;2021-51;2.2
Austria;Total;2021-52;2.41
Austria;Total;2022-01;0.65
Austria;Total;2022-02;-0.46
Austria;Total;2022-03;1.26
Austria;Total;2022-04;0.85
Austria;Total;2022-05;1.13
Austria;Total;2022-06;2.25
Austria;Total;2022-07;2.89
Austria;Total;2022-08;2.18
Austria;Total;2022-09;3.74
Austria;Total;2022-10;2.4
Austria;Total;2022-11;3.57
Austria;Total;2022-12;4.79
Austria;Total;2022-13;4.22
Austria;Total;2022-14;4.51
Austria;Total;2022-15;2.55
Austria;Total;2022-16;0.53
Austria;Total;2022-17;1.09
Austria;Total;2022-18;0.78
Austria;Total;2022-19;-0.15
Austria;Total;2022-20;0.4
Austria;Total;2022-21;-0.43
Austria;Total;2022-22;0.36
Austria;Total;2022-23;0.42
Austria;Total;2022-24;1.6
Austria;Total;2022-25;1.58
Austria;Total;2022-26;1.78
Austria;Total;2022-27;0.92
Austria;Total;2022-28;0.72
Austria;Total;2022-29;4.72
Austria;Total;2022-30;2.96
Austria;Total;2022-31;1.72
Austria;Total;2022-32;0.12
Austria;Total;2022-33;2.18
Austria;Total;2022-34;-0.16
Austria;Total;2022-35;-1.73
Austria;Total;2022-36;-0.67
Austria;Total;2022-37;-0.08
Austria;Total;2022-38;0.67
Austria;Total;2022-39;1.91
Austria;Total;2022-40;3.63
Austria;Total;2022-41;1.8
Austria;Total;2022-42;1.95
Austria;Total;2022-43;2.32
Austria;Total;2022-44;0.56
Austria;Total;2022-45;0.34
Austria;Total;2022-46;0.88
Austria;Total;2022-47;0.33
Austria;Total;2022-48;1.54
Austria;Total;2022-49;1.77
Austria;Total;2022-50;4.55
Austria;Total;2022-51;4.07
Austria;Total;2022-52;-8.17
Belgium;Total;2019-02;1.8
Belgium;Total;2019-03;1.34
Belgium;Total;2019-04;2.14
Belgium;Total;2019-05;2.12
Belgium;Total;2019-06;3.65
Belgium;Total;2019-07;2.48
Belgium;Total;2019-08;2.59
Belgium;Total;2019-09;2.66
Belgium;Total;2019-10;2.47
Belgium;Total;2019-11;1.95
Belgium;Total;2019-12;0.43
Belgium;Total;2019-13;-0.63
Belgium;Total;2019-14;1.12
Belgium;Total;2019-15;-1.05
Belgium;Total;2019-16;0.62
Belgium;Total;2019-17;0.15
Belgium;Total;2019-18;0.15
Belgium;Total;2019-19;0.41
Belgium;Total;2019-20;0.74
Belgium;Total;2019-21;0.63
Belgium;Total;2019-22;0.19
Belgium;Total;2019-23;0.7
Belgium;Total;2019-24;-0.65
Belgium;Total;2019-25;0.65
Belgium;Total;2019-26;1.49
Belgium;Total;2019-27;1.14
Belgium;Total;2019-28;-0.63
Belgium;Total;2019-29;0.53
Belgium;Total;2019-30;5.61
Belgium;Total;2019-31;0.99
Belgium;Total;2019-32;-0.8
Belgium;Total;2019-33;-0.66
Belgium;Total;2019-34;0.2
Belgium;Total;2019-35;2.14
Belgium;Total;2019-36;-0.08
Belgium;Total;2019-37;-0.45
Belgium;Total;2019-38;0.31
Belgium;Total;2019-39;-0.14
Belgium;Total;2019-40;1.55
Belgium;Total;2019-41;0.1
Belgium;Total;2019-42;0.14
Belgium;Total;2019-43;1.24
Belgium;Total;2019-44;-0.79
Belgium;Total;2019-45;-0.11
Belgium;Total;2019-46;-0.37
Belgium;Total;2019-47;1.38
Belgium;Total;2019-48;0.48
Belgium;Total;2019-49;0.51
Belgium;Total;2019-50;1.13
Belgium;Total;2019-51;2.16
Belgium;Total;2019-52;0.04
Belgium;Total;2020-01;0.82
Belgium;Total;2020-02;2.46
Belgium;Total;2020-03;1.42
Belgium;Total;2020-04;0.28
Belgium;Total;2020-05;1.88
Belgium;Total;2020-06;-0.09
Belgium;Total;2020-07;1.37
Belgium;Total;2020-08;1.24
Belgium;Total;2020-09;0.64
Belgium;Total;2020-10;0.51
Belgium;Total;2020-11;1.12
Belgium;Total;2020-12;4.62
Belgium;Total;2020-13;11.23
Belgium;Total;2020-14;19.43
Belgium;Total;2020-15;22.31
Belgium;Total;2020-16;17.15
Belgium;Total;2020-17;11.03
Belgium;Total;2020-18;4.31
Belgium;Total;2020-19;4.53
Belgium;Total;2020-20;0.9
Belgium;Total;2020-21;1.59
Belgium;Total;2020-22;0.46
Belgium;Total;2020-23;-1.7
Belgium;Total;2020-24;-0.22
Belgium;Total;2020-25;-0.91
Belgium;Total;2020-26;0.91
Belgium;Total;2020-27;-1.41
Belgium;Total;2020-28;-2.44
Belgium;Total;2020-29;-0.09
Belgium;Total;2020-30;-0.62
Belgium;Total;2020-31;1.1
Belgium;Total;2020-32;2.2
Belgium;Total;2020-33;11.46
Belgium;Total;2020-34;4.04
Belgium;Total;2020-35;-0.02
Belgium;Total;2020-36;-0.01
Belgium;Total;2020-37;-0.81
Belgium;Total;2020-38;1.04
Belgium;Total;2020-39;-0.16
Belgium;Total;2020-40;-0.05
Belgium;Total;2020-41;1.12
Belgium;Total;2020-42;1.9
Belgium;Total;2020-43;7.1
Belgium;Total;2020-44;13.59
Belgium;Total;2020-45;17.24
Belgium;Total;2020-46;14.35
Belgium;Total;2020-47;11.56
Belgium;Total;2020-48;8.54
Belgium;Total;2020-49;5.98
Belgium;Total;2020-50;6.7
Belgium;Total;2020-51;5.9
Belgium;Total;2020-52;4.5
Belgium;Total;2020-53;2.76
Belgium;Total;2021-01;2.84
Belgium;Total;2021-02;2.06
Belgium;Total;2021-03;2.34
Belgium;Total;2021-04;2.1
Belgium;Total;2021-05;0.82
Belgium;Total;2021-06;0.2
Belgium;Total;2021-07;1.21
Belgium;Total;2021-08;-0.49
Belgium;Total;2021-09;-1.67
Belgium;Total;2021-10;-0.04
Belgium;Total;2021-11;-0.59
Belgium;Total;2021-12;-0.27
Belgium;Total;2021-13;1.28
Belgium;Total;2021-14;1.24
Belgium;Total;2021-15;1.01
Belgium;Total;2021-16;1.86
Belgium;Total;2021-17;2
Belgium;Total;2021-18;2.79
Belgium;Total;2021-19;0.82
Belgium;Total;2021-20;0.56
Belgium;Total;2021-21;0.44
Belgium;Total;2021-22;0.77
Belgium;Total;2021-23;-0.43
Belgium;Total;2021-24;0.56
Belgium;Total;2021-25;-1.26
Belgium;Total;2021-26;0.6
Belgium;Total;2021-27;-0.29
Belgium;Total;2021-28;0.52
Belgium;Total;2021-29;1.93
Belgium;Total;2021-30;0.41
Belgium;Total;2021-31;0.37
Belgium;Total;2021-32;0.59
Belgium;Total;2021-33;-0.25
Belgium;Total;2021-34;-0.14
Belgium;Total;2021-35;0.81
Belgium;Total;2021-36;1.62
Belgium;Total;2021-37;-0.1
Belgium;Total;2021-38;-0.38
Belgium;Total;2021-39;0.09
Belgium;Total;2021-40;1.08
Belgium;Total;2021-41;2.87
Belgium;Total;2021-42;3.96
Belgium;Total;2021-43;3.51
Belgium;Total;2021-44;2.69
Belgium;Total;2021-45;3.56
Belgium;Total;2021-46;3.42
Belgium;Total;2021-47;4.24
Belgium;Total;2021-48;6.36
Belgium;Total;2021-49;4.78
Belgium;Total;2021-50;3.84
Belgium;Total;2021-51;2.95
Belgium;Total;2021-52;2.77
Belgium;Total;2022-01;1.66
Belgium;Total;2022-02;0.26
Belgium;Total;2022-03;1.57
Belgium;Total;2022-04;3.13
Belgium;Total;2022-05;4.11
Belgium;Total;2022-06;3.38
Belgium;Total;2022-07;2.39
Belgium;Total;2022-08;1.12
Belgium;Total;2022-09;-0.28
Belgium;Total;2022-10;2.4
Belgium;Total;2022-11;2.33
Belgium;Total;2022-12;2.39
Belgium;Total;2022-13;3.83
Belgium;Total;2022-14;4.54
Belgium;Total;2022-15;3.83
Belgium;Total;2022-16;2.87
Belgium;Total;2022-17;1.72
Belgium;Total;2022-18;2.53
Belgium;Total;2022-19;0.61
Belgium;Total;2022-20;1.3
Belgium;Total;2022-21;-0.54
Belgium;Total;2022-22;1.08
Belgium;Total;2022-23;0.1
Belgium;Total;2022-24;2.31
Belgium;Total;2022-25;1.42
Belgium;Total;2022-26;0.77
Belgium;Total;2022-27;1.8
Belgium;Total;2022-28;2.23
Belgium;Total;2022-29;3.15
Belgium;Total;2022-30;1.74
Belgium;Total;2022-31;2.19
Belgium;Total;2022-32;3.18
Belgium;Total;2022-33;2.74
Belgium;Total;2022-34;2.24
Belgium;Total;2022-35;1.07
Belgium;Total;2022-36;1.17
Belgium;Total;2022-37;-0.2
Belgium;Total;2022-38;1.24
Belgium;Total;2022-39;1.73
Belgium;Total;2022-40;2.82
Belgium;Total;2022-41;2.59
Belgium;Total;2022-42;2.22
Belgium;Total;2022-43;1.57
Belgium;Total;2022-44;-0.36
Belgium;Total;2022-45;-0.22
Belgium;Total;2022-46;-0.07
Belgium;Total;2022-47;0.88
Belgium;Total;2022-48;1.01
Belgium;Total;2022-49;3.18
Belgium;Total;2022-50;3.96
Belgium;Total;2022-51;6.81
Belgium;Total;2022-52;-10.69
Cyprus;Total;2019-02;2.18
Cyprus;Total;2019-03;1.79
Cyprus;Total;2019-04;1.61
Cyprus;Total;2019-05;1.64
Cyprus;Total;2019-06;1.99
Cyprus;Total;2019-07;0.68
Cyprus;Total;2019-08;0.31
Cyprus;Total;2019-09;0.68
Cyprus;Total;2019-10;-0.07
Cyprus;Total;2019-11;0.4
