KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;SONSTIGE;AUFNAHMEN
19. KW 2023;BGL;I;0;0;0;0;0
19. KW 2023;BGL;N;4;0;0;38;41
19. KW 2023;KTN;I;0;0;0;5;5
19. KW 2023;KTN;N;8;1;0;78;86
19. KW 2023;NÖ;I;0;0;0;3;3
19. KW 2023;NÖ;N;28;3;0;166;195
19. KW 2023;OÖ;I;0;0;0;5;5
19. KW 2023;OÖ;N;23;0;0;160;178
19. KW 2023;SBG;I;2;0;0;4;6
19. KW 2023;SBG;N;10;0;0;47;56
19. KW 2023;ST;I;0;0;0;10;10
19. KW 2023;ST;N;26;2;0;161;188
19. KW 2023;T;I;0;0;0;10;10
19. KW 2023;T;N;12;2;0;115;129
19. KW 2023;V;I;0;0;0;5;5
19. KW 2023;V;N;9;0;0;42;48
19. KW 2023;W;I;3;0;0;8;11
19. KW 2023;W;N;42;0;0;143;183
20. KW 2023;BGL;I;0;0;0;2;2
20. KW 2023;BGL;N;6;0;0;44;47
20. KW 2023;KTN;I;0;0;0;1;1
20. KW 2023;KTN;N;14;0;0;69;81
20. KW 2023;NÖ;I;0;0;0;5;5
20. KW 2023;NÖ;N;19;2;1;159;175
20. KW 2023;OÖ;I;1;0;0;11;12
20. KW 2023;OÖ;N;17;0;1;165;182
20. KW 2023;SBG;I;0;0;0;4;4
20. KW 2023;SBG;N;5;0;0;64;67
20. KW 2023;ST;I;3;0;0;8;11
20. KW 2023;ST;N;26;1;0;154;176
20. KW 2023;T;I;0;0;0;1;1
20. KW 2023;T;N;10;0;0;93;101
20. KW 2023;V;I;1;0;0;3;4
20. KW 2023;V;N;3;0;0;36;39
20. KW 2023;W;I;2;0;0;12;14
20. KW 2023;W;N;41;0;1;131;168
21. KW 2023;BGL;I;0;0;0;3;3
21. KW 2023;BGL;N;8;0;0;35;42
21. KW 2023;KTN;I;0;0;0;2;2
21. KW 2023;KTN;N;16;0;1;86;101
21. KW 2023;NÖ;I;1;0;0;5;5
21. KW 2023;NÖ;N;6;1;0;150;156
21. KW 2023;OÖ;I;1;0;0;5;6
21. KW 2023;OÖ;N;15;0;1;156;171
21. KW 2023;SBG;I;1;0;0;5;6
21. KW 2023;SBG;N;6;0;0;47;52
21. KW 2023;ST;I;1;0;1;15;17
21. KW 2023;ST;N;23;0;0;145;167
21. KW 2023;T;I;0;0;0;4;4
21. KW 2023;T;N;5;1;0;114;120
21. KW 2023;V;I;0;0;0;4;4
21. KW 2023;V;N;3;0;1;44;47
21. KW 2023;W;I;2;0;0;10;12
21. KW 2023;W;N;35;0;0;163;194
22. KW 2023;BGL;I;1;0;0;2;3
22. KW 2023;BGL;N;3;0;1;33;36
22. KW 2023;KTN;I;1;0;0;0;1
22. KW 2023;KTN;N;8;0;1;74;83
22. KW 2023;NÖ;I;0;0;0;7;7
22. KW 2023;NÖ;N;8;0;0;152;158
22. KW 2023;OÖ;I;0;0;0;5;5
22. KW 2023;OÖ;N;17;0;0;127;143
22. KW 2023;SBG;I;0;0;0;3;3
22. KW 2023;SBG;N;6;0;0;48;54
22. KW 2023;ST;I;1;1;0;21;22
22. KW 2023;ST;N;17;0;0;140;153
22. KW 2023;T;I;0;0;0;8;8
22. KW 2023;T;N;2;1;1;87;91
22. KW 2023;V;I;0;0;0;3;3
22. KW 2023;V;N;5;0;0;41;46
22. KW 2023;W;I;0;0;0;11;11
22. KW 2023;W;N;26;2;0;129;155
23. KW 2023;BGL;I;0;0;0;1;1
23. KW 2023;BGL;N;4;0;0;32;35
23. KW 2023;KTN;I;0;0;0;6;6
23. KW 2023;KTN;N;2;0;0;77;79
23. KW 2023;NÖ;I;1;0;0;4;5
23. KW 2023;NÖ;N;9;0;1;125;132
23. KW 2023;OÖ;I;0;0;0;10;10
23. KW 2023;OÖ;N;15;0;0;147;156
23. KW 2023;SBG;I;0;0;0;4;4
23. KW 2023;SBG;N;4;0;0;45;49
23. KW 2023;ST;I;1;0;0;12;13
23. KW 2023;ST;N;17;0;1;127;142
23. KW 2023;T;I;0;0;0;4;4
23. KW 2023;T;N;6;0;0;91;95
23. KW 2023;V;I;0;0;0;0;0
23. KW 2023;V;N;1;0;0;37;38
23. KW 2023;W;I;0;0;0;12;12
23. KW 2023;W;N;28;2;1;141;169
24. KW 2023;BGL;I;0;0;0;2;2
24. KW 2023;BGL;N;3;0;0;25;28
24. KW 2023;KTN;I;0;0;0;2;2
24. KW 2023;KTN;N;3;0;0;72;74
24. KW 2023;NÖ;I;0;0;0;7;7
24. KW 2023;NÖ;N;9;1;0;120;127
24. KW 2023;OÖ;I;0;0;0;8;8
24. KW 2023;OÖ;N;14;0;0;131;144
24. KW 2023;SBG;I;0;1;0;3;4
24. KW 2023;SBG;N;7;0;0;56;62
24. KW 2023;ST;I;0;0;0;9;9
24. KW 2023;ST;N;9;1;0;138;146
24. KW 2023;T;I;0;0;0;4;4
24. KW 2023;T;N;4;1;0;80;85
24. KW 2023;V;I;0;0;0;2;2
24. KW 2023;V;N;0;0;0;28;28
24. KW 2023;W;I;1;0;0;9;10
24. KW 2023;W;N;27;1;0;145;171
25. KW 2023;BGL;I;1;0;0;2;2
25. KW 2023;BGL;N;2;0;0;28;29
25. KW 2023;KTN;I;0;0;0;2;2
25. KW 2023;KTN;N;3;0;0;67;70
25. KW 2023;NÖ;I;1;0;0;8;8
25. KW 2023;NÖ;N;9;1;0;130;140
25. KW 2023;OÖ;I;0;0;0;8;8
25. KW 2023;OÖ;N;10;0;0;116;125
25. KW 2023;SBG;I;1;0;0;4;5
25. KW 2023;SBG;N;6;1;0;50;55
25. KW 2023;ST;I;1;0;0;3;4
25. KW 2023;ST;N;11;0;0;139;146
25. KW 2023;T;I;0;0;0;0;0
25. KW 2023;T;N;5;0;0;102;106
25. KW 2023;V;I;0;0;0;1;1
25. KW 2023;V;N;0;0;0;26;26
25. KW 2023;W;I;2;0;0;18;20
25. KW 2023;W;N;13;0;0;131;143
26. KW 2023;BGL;I;0;0;0;1;1
26. KW 2023;BGL;N;1;0;0;32;33
26. KW 2023;KTN;I;0;0;0;3;3
26. KW 2023;KTN;N;5;0;1;65;69
26. KW 2023;NÖ;I;0;0;0;6;6
26. KW 2023;NÖ;N;10;1;0;131;141
26. KW 2023;OÖ;I;0;0;1;7;8
26. KW 2023;OÖ;N;9;0;1;107;113
26. KW 2023;SBG;I;0;0;0;3;3
26. KW 2023;SBG;N;0;0;0;40;40
26. KW 2023;ST;I;0;0;0;8;8
26. KW 2023;ST;N;8;0;1;149;156
26. KW 2023;T;I;0;0;0;5;5
26. KW 2023;T;N;2;0;0;83;85
26. KW 2023;V;I;0;0;0;3;3
26. KW 2023;V;N;0;0;0;25;25
26. KW 2023;W;I;0;0;0;16;16
26. KW 2023;W;N;7;0;0;155;162
27. KW 2023;BGL;I;0;0;0;1;1
27. KW 2023;BGL;N;2;0;0;25;26
27. KW 2023;KTN;I;0;0;0;3;3
27. KW 2023;KTN;N;2;0;0;73;75
27. KW 2023;NÖ;I;0;0;0;3;3
27. KW 2023;NÖ;N;13;0;0;133;142
27. KW 2023;OÖ;I;1;0;0;7;8
27. KW 2023;OÖ;N;10;0;1;133;142
27. KW 2023;SBG;I;0;0;0;2;2
27. KW 2023;SBG;N;6;0;0;39;44
27. KW 2023;ST;I;1;0;0;10;11
27. KW 2023;ST;N;4;0;0;110;114
