KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
19. KW 2023;BGL;I;0;0;0;0;0;0
19. KW 2023;BGL;N;4;0;0;0;38;41
19. KW 2023;KTN;I;0;0;0;0;5;5
19. KW 2023;KTN;N;8;1;0;1;76;85
19. KW 2023;NÖ;I;0;0;0;0;3;3
19. KW 2023;NÖ;N;28;3;0;1;167;197
19. KW 2023;OÖ;I;0;0;0;1;5;5
19. KW 2023;OÖ;N;24;0;0;1;163;183
19. KW 2023;SBG;I;2;0;0;1;4;6
19. KW 2023;SBG;N;10;0;0;0;47;56
19. KW 2023;ST;I;0;0;0;1;9;10
19. KW 2023;ST;N;26;2;0;4;157;188
19. KW 2023;T;I;0;0;0;0;10;10
19. KW 2023;T;N;12;2;0;4;113;131
19. KW 2023;V;I;0;0;0;0;5;5
19. KW 2023;V;N;9;0;0;3;39;48
19. KW 2023;W;I;3;0;0;0;8;11
19. KW 2023;W;N;43;0;0;2;141;184
20. KW 2023;BGL;I;0;0;0;0;2;2
20. KW 2023;BGL;N;6;0;0;1;44;48
20. KW 2023;KTN;I;0;0;0;0;1;1
20. KW 2023;KTN;N;14;0;0;2;67;81
20. KW 2023;NÖ;I;0;0;0;0;5;5
20. KW 2023;NÖ;N;18;2;1;2;159;176
20. KW 2023;OÖ;I;1;0;0;0;11;12
20. KW 2023;OÖ;N;17;0;1;5;161;183
20. KW 2023;SBG;I;0;0;0;0;4;4
20. KW 2023;SBG;N;5;0;0;2;62;67
20. KW 2023;ST;I;3;0;0;0;8;11
20. KW 2023;ST;N;26;1;0;1;153;176
20. KW 2023;T;I;0;0;0;0;1;1
20. KW 2023;T;N;10;0;0;5;89;102
20. KW 2023;V;I;1;0;0;0;3;4
20. KW 2023;V;N;3;0;0;2;34;39
20. KW 2023;W;I;2;0;0;0;12;14
20. KW 2023;W;N;41;0;1;1;131;169
21. KW 2023;BGL;I;0;0;0;0;3;3
