JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;19;BGL;I;0;0;0;0;0;0
2023;19;BGL;N;4;0;0;0;38;41
2023;19;KTN;I;0;0;0;0;5;5
2023;19;KTN;N;8;2;0;1;75;85
2023;19;NÖ;I;0;0;0;0;3;3
2023;19;NÖ;N;28;5;0;1;166;197
2023;19;OÖ;I;0;0;0;1;5;5
2023;19;OÖ;N;24;0;0;1;163;183
2023;19;SBG;I;2;0;0;1;4;6
2023;19;SBG;N;10;0;0;0;47;56
2023;19;ST;I;0;0;0;1;9;10
2023;19;ST;N;26;2;0;4;157;188
2023;19;T;I;0;0;0;0;10;10
2023;19;T;N;12;2;0;4;113;131
2023;19;V;I;0;0;0;0;5;5
2023;19;V;N;9;0;0;3;39;48
2023;19;W;I;3;0;0;0;8;11
2023;19;W;N;43;0;0;2;141;184
2023;20;BGL;I;0;0;0;0;2;2
2023;20;BGL;N;6;0;0;1;44;48
2023;20;KTN;I;0;0;0;0;1;1
2023;20;KTN;N;14;0;0;2;67;81
2023;20;NÖ;I;0;0;0;0;5;5
2023;20;NÖ;N;18;2;1;2;159;176
2023;20;OÖ;I;1;0;0;0;11;12
2023;20;OÖ;N;17;0;1;5;161;183
2023;20;SBG;I;0;0;0;0;4;4
2023;20;SBG;N;5;0;0;2;62;67
2023;20;ST;I;3;0;0;0;8;11
2023;20;ST;N;26;1;0;1;153;176
2023;20;T;I;0;0;0;0;1;1
2023;20;T;N;10;0;0;5;89;102
2023;20;V;I;1;0;0;0;3;4
2023;20;V;N;3;0;0;2;34;39
2023;20;W;I;2;0;0;0;12;14
2023;20;W;N;41;1;1;1;130;169
2023;21;BGL;I;0;0;0;0;3;3
2023;21;BGL;N;8;0;0;2;33;42
2023;21;KTN;I;0;0;0;0;2;2
2023;21;KTN;N;16;0;1;2;84;101
2023;21;NÖ;I;1;0;0;1;5;6
2023;21;NÖ;N;7;1;0;2;146;155
2023;21;OÖ;I;1;0;0;0;5;6
2023;21;OÖ;N;15;0;1;3;157;175
2023;21;SBG;I;1;0;0;0;5;6
2023;21;SBG;N;6;0;0;0;49;54
2023;21;ST;I;1;0;1;1;14;17
2023;21;ST;N;23;0;0;4;141;167
2023;21;T;I;0;0;0;0;4;4
2023;21;T;N;5;1;0;2;113;121
2023;21;V;I;0;0;0;0;4;4
2023;21;V;N;3;0;1;2;42;47
2023;21;W;I;2;0;0;1;10;12
2023;21;W;N;35;0;0;2;162;194
2023;22;BGL;I;1;0;0;0;2;3
2023;22;BGL;N;3;0;1;0;33;36
2023;22;KTN;I;1;0;0;0;0;1
2023;22;KTN;N;8;0;1;0;74;83
2023;22;NÖ;I;0;0;0;0;7;7
2023;22;NÖ;N;7;1;0;2;156;164
2023;22;OÖ;I;0;0;0;0;5;5
2023;22;OÖ;N;17;1;0;4;126;147
2023;22;SBG;I;0;0;0;0;3;3
2023;22;SBG;N;6;0;0;2;43;51
2023;22;ST;I;1;1;0;1;21;22
2023;22;ST;N;17;0;0;1;139;152
2023;22;T;I;0;0;0;0;8;8
2023;22;T;N;2;1;1;4;84;92
2023;22;V;I;0;0;0;1;2;3
2023;22;V;N;5;0;0;5;39;49
2023;22;W;I;0;0;0;0;11;11
2023;22;W;N;25;2;0;0;131;156
2023;23;BGL;I;0;0;0;0;1;1
2023;23;BGL;N;4;0;0;1;31;35
2023;23;KTN;I;0;0;0;1;5;6
2023;23;KTN;N;2;0;0;1;76;79
2023;23;NÖ;I;1;0;0;1;3;5
2023;23;NÖ;N;8;1;1;3;120;131
2023;23;OÖ;I;0;0;0;0;10;10
2023;23;OÖ;N;15;0;0;0;146;155
