KW;WOHNORT;GESCHLECHT;ALTERSGRUPPE;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN;BEV_ZAHL
19. KW 2023;BGL;M;0 - 4;I;0;0;0;0;0;0;6203
19. KW 2023;BGL;M;0 - 4;N;0;0;0;0;0;0;6203
19. KW 2023;BGL;M;15 - 29;I;0;0;0;0;0;0;21547
19. KW 2023;BGL;M;15 - 29;N;0;0;0;0;0;0;21547
19. KW 2023;BGL;M;30 - 44;I;0;0;0;0;0;0;27102
19. KW 2023;BGL;M;30 - 44;N;0;0;0;0;1;1;27102
19. KW 2023;BGL;M;45 - 59;I;0;0;0;0;0;0;34423
19. KW 2023;BGL;M;45 - 59;N;0;0;0;0;2;2;34423
19. KW 2023;BGL;M;5 - 14;I;0;0;0;0;0;0;14239
19. KW 2023;BGL;M;5 - 14;N;0;0;0;0;0;0;14239
19. KW 2023;BGL;M;60 - 69;I;0;0;0;0;0;0;22455
19. KW 2023;BGL;M;60 - 69;N;0;0;0;0;5;5;22455
19. KW 2023;BGL;M;70 - 79;I;0;0;0;0;1;1;13780
19. KW 2023;BGL;M;70 - 79;N;1;0;0;0;3;4;13780
19. KW 2023;BGL;M;80+;I;0;0;0;0;0;0;7764
19. KW 2023;BGL;M;80+;N;0;0;0;0;3;3;7764
19. KW 2023;BGL;W;0 - 4;I;0;0;0;0;0;0;5948
19. KW 2023;BGL;W;0 - 4;N;0;0;0;0;2;2;5948
19. KW 2023;BGL;W;15 - 29;I;0;0;0;0;0;0;19925
19. KW 2023;BGL;W;15 - 29;N;0;0;0;0;1;1;19925
19. KW 2023;BGL;W;30 - 44;I;0;0;0;0;0;0;27926
19. KW 2023;BGL;W;30 - 44;N;0;0;0;0;0;0;27926
19. KW 2023;BGL;W;45 - 59;I;0;0;0;0;0;0;35354
19. KW 2023;BGL;W;45 - 59;N;0;0;0;0;1;1;35354
19. KW 2023;BGL;W;5 - 14;I;0;0;0;0;0;0;13488
19. KW 2023;BGL;W;5 - 14;N;0;0;0;0;0;0;13488
19. KW 2023;BGL;W;60 - 69;I;0;0;0;0;0;0;23241
19. KW 2023;BGL;W;60 - 69;N;0;0;0;0;2;2;23241
19. KW 2023;BGL;W;70 - 79;I;0;0;0;0;0;0;15494
19. KW 2023;BGL;W;70 - 79;N;0;0;0;0;4;4;15494
19. KW 2023;BGL;W;80+;I;0;0;0;0;0;0;12361
19. KW 2023;BGL;W;80+;N;1;0;0;0;16;16;12361
19. KW 2023;KTN;M;0 - 4;I;0;0;0;0;1;1;12094
19. KW 2023;KTN;M;0 - 4;N;0;0;0;0;3;3;12094
19. KW 2023;KTN;M;15 - 29;I;0;0;0;0;0;0;44779
19. KW 2023;KTN;M;15 - 29;N;0;0;0;0;0;0;44779
19. KW 2023;KTN;M;30 - 44;I;0;0;0;0;0;0;53429
19. KW 2023;KTN;M;30 - 44;N;0;0;0;0;2;2;53429
19. KW 2023;KTN;M;45 - 59;I;0;0;0;0;0;0;62291
19. KW 2023;KTN;M;45 - 59;N;0;0;0;0;5;5;62291
19. KW 2023;KTN;M;5 - 14;I;0;0;0;0;0;0;26441
19. KW 2023;KTN;M;5 - 14;N;0;0;0;0;0;0;26441
19. KW 2023;KTN;M;60 - 69;I;0;0;0;0;0;0;39936
19. KW 2023;KTN;M;60 - 69;N;2;0;0;0;3;5;39936
19. KW 2023;KTN;M;70 - 79;I;0;0;0;0;1;1;24639
19. KW 2023;KTN;M;70 - 79;N;1;0;0;0;5;6;24639
19. KW 2023;KTN;M;80+;I;0;0;0;0;0;0;14862
19. KW 2023;KTN;M;80+;N;2;0;0;0;24;26;14862
19. KW 2023;KTN;W;0 - 4;I;0;0;0;0;1;1;11441
19. KW 2023;KTN;W;0 - 4;N;0;0;0;0;0;0;11441
19. KW 2023;KTN;W;15 - 29;I;0;0;0;0;0;0;40534
19. KW 2023;KTN;W;15 - 29;N;0;0;0;0;1;1;40534
19. KW 2023;KTN;W;30 - 44;I;0;0;0;0;0;0;52625
19. KW 2023;KTN;W;30 - 44;N;0;0;0;1;0;1;52625
19. KW 2023;KTN;W;45 - 59;I;0;0;0;0;1;1;64051
19. KW 2023;KTN;W;45 - 59;N;0;0;0;0;1;1;64051
19. KW 2023;KTN;W;5 - 14;I;0;0;0;0;0;0;25080
19. KW 2023;KTN;W;5 - 14;N;0;0;0;0;2;2;25080
19. KW 2023;KTN;W;60 - 69;I;0;0;0;0;0;0;42536
19. KW 2023;KTN;W;60 - 69;N;0;0;0;0;2;2;42536
19. KW 2023;KTN;W;70 - 79;I;0;0;0;0;0;0;29804
19. KW 2023;KTN;W;70 - 79;N;2;0;0;0;7;9;29804
19. KW 2023;KTN;W;80+;I;0;0;0;0;1;1;24442
19. KW 2023;KTN;W;80+;N;0;0;0;0;20;20;24442
19. KW 2023;NÖ;M;0 - 4;I;0;0;0;0;0;0;40264
19. KW 2023;NÖ;M;0 - 4;N;4;0;0;0;6;10;40264
19. KW 2023;NÖ;M;15 - 29;I;0;0;0;0;0;0;135847
19. KW 2023;NÖ;M;15 - 29;N;0;0;0;0;0;0;135847
19. KW 2023;NÖ;M;30 - 44;I;0;0;0;0;0;0;163927
19. KW 2023;NÖ;M;30 - 44;N;1;0;0;0;1;2;163927
19. KW 2023;NÖ;M;45 - 59;I;0;0;0;0;1;1;194009
19. KW 2023;NÖ;M;45 - 59;N;0;0;0;0;6;6;194009
19. KW 2023;NÖ;M;5 - 14;I;0;0;0;0;0;0;88232
19. KW 2023;NÖ;M;5 - 14;N;0;0;0;0;2;2;88232
19. KW 2023;NÖ;M;60 - 69;I;0;0;0;0;1;1;110830
19. KW 2023;NÖ;M;60 - 69;N;1;0;0;0;14;15;110830
19. KW 2023;NÖ;M;70 - 79;I;0;0;0;0;0;0;68295
19. KW 2023;NÖ;M;70 - 79;N;5;1;0;0;17;23;68295
19. KW 2023;NÖ;M;80+;I;0;0;0;0;2;2;43827
19. KW 2023;NÖ;M;80+;N;2;0;0;0;41;43;43827
19. KW 2023;NÖ;W;0 - 4;I;0;0;0;0;0;0;38530
19. KW 2023;NÖ;W;0 - 4;N;1;0;0;0;6;7;38530
19. KW 2023;NÖ;W;15 - 29;I;0;0;0;0;0;0;125900
19. KW 2023;NÖ;W;15 - 29;N;1;0;0;0;0;1;125900
19. KW 2023;NÖ;W;30 - 44;I;0;0;0;0;0;0;164127
19. KW 2023;NÖ;W;30 - 44;N;0;0;0;0;0;0;164127
19. KW 2023;NÖ;W;45 - 59;I;0;0;0;0;0;0;197835
19. KW 2023;NÖ;W;45 - 59;N;1;0;0;0;7;8;197835
19. KW 2023;NÖ;W;5 - 14;I;0;0;0;0;0;0;83246
19. KW 2023;NÖ;W;5 - 14;N;1;0;0;0;2;3;83246
19. KW 2023;NÖ;W;60 - 69;I;0;0;0;0;0;0;115695
19. KW 2023;NÖ;W;60 - 69;N;4;0;0;0;12;16;115695
19. KW 2023;NÖ;W;70 - 79;I;0;0;0;0;0;0;81215
19. KW 2023;NÖ;W;70 - 79;N;7;1;0;0;20;26;81215
19. KW 2023;NÖ;W;80+;I;0;0;0;0;0;0;66594
19. KW 2023;NÖ;W;80+;N;5;1;0;1;37;44;66594
19. KW 2023;OÖ;M;0 - 4;I;0;0;0;0;0;0;39341
19. KW 2023;OÖ;M;0 - 4;N;0;0;0;0;7;7;39341
19. KW 2023;OÖ;M;15 - 29;I;0;0;0;0;0;0;133825
19. KW 2023;OÖ;M;15 - 29;N;0;0;0;0;2;2;133825
19. KW 2023;OÖ;M;30 - 44;I;0;0;0;0;0;0;157183
19. KW 2023;OÖ;M;30 - 44;N;0;0;0;0;3;3;157183
19. KW 2023;OÖ;M;45 - 59;I;0;0;0;1;2;2;163750
19. KW 2023;OÖ;M;45 - 59;N;1;0;0;0;6;7;163750
19. KW 2023;OÖ;M;5 - 14;I;0;0;0;0;0;0;79609
19. KW 2023;OÖ;M;5 - 14;N;0;0;0;0;4;4;79609
19. KW 2023;OÖ;M;60 - 69;I;0;0;0;0;0;0;95341
19. KW 2023;OÖ;M;60 - 69;N;0;0;0;0;12;12;95341
19. KW 2023;OÖ;M;70 - 79;I;0;0;0;0;1;1;55199
19. KW 2023;OÖ;M;70 - 79;N;4;0;0;0;25;28;55199
19. KW 2023;OÖ;M;80+;I;0;0;0;0;0;0;33695
19. KW 2023;OÖ;M;80+;N;4;0;0;0;30;34;33695
19. KW 2023;OÖ;W;0 - 4;I;0;0;0;0;0;0;37266
19. KW 2023;OÖ;W;0 - 4;N;0;0;0;0;5;5;37266
19. KW 2023;OÖ;W;15 - 29;I;0;0;0;0;0;0;122614
19. KW 2023;OÖ;W;15 - 29;N;1;0;0;0;0;1;122614
19. KW 2023;OÖ;W;30 - 44;I;0;0;0;0;0;0;148425
19. KW 2023;OÖ;W;30 - 44;N;0;0;0;0;0;0;148425
19. KW 2023;OÖ;W;45 - 59;I;0;0;0;0;0;0;162516
19. KW 2023;OÖ;W;45 - 59;N;3;0;0;0;5;7;162516
19. KW 2023;OÖ;W;5 - 14;I;0;0;0;0;0;0;75111
19. KW 2023;OÖ;W;5 - 14;N;0;0;0;0;5;5;75111
19. KW 2023;OÖ;W;60 - 69;I;0;0;0;0;0;0;99157
19. KW 2023;OÖ;W;60 - 69;N;1;0;0;0;7;8;99157
19. KW 2023;OÖ;W;70 - 79;I;0;0;0;0;1;1;65521
19. KW 2023;OÖ;W;70 - 79;N;4;0;0;1;13;17;65521
19. KW 2023;OÖ;W;80+;I;0;0;0;0;1;1;54272
19. KW 2023;OÖ;W;80+;N;4;0;0;0;38;40;54272
19. KW 2023;SBG;M;0 - 4;I;0;0;0;0;0;0;14559
19. KW 2023;SBG;M;0 - 4;N;0;0;0;0;1;1;14559
19. KW 2023;SBG;M;15 - 29;I;0;0;0;0;0;0;49514
19. KW 2023;SBG;M;15 - 29;N;0;0;0;0;0;0;49514
19. KW 2023;SBG;M;30 - 44;I;0;0;0;0;0;0;58373
19. KW 2023;SBG;M;30 - 44;N;0;0;0;0;1;1;58373
19. KW 2023;SBG;M;45 - 59;I;0;0;0;0;0;0;60002
19. KW 2023;SBG;M;45 - 59;N;0;0;0;0;1;1;60002
19. KW 2023;SBG;M;5 - 14;I;0;0;0;0;0;0;28141
19. KW 2023;SBG;M;5 - 14;N;0;0;0;0;0;0;28141
19. KW 2023;SBG;M;60 - 69;I;0;0;0;0;0;0;33199
19. KW 2023;SBG;M;60 - 69;N;1;0;0;0;4;5;33199
19. KW 2023;SBG;M;70 - 79;I;0;0;0;0;2;2;21501
19. KW 2023;SBG;M;70 - 79;N;1;0;0;0;10;11;21501
19. KW 2023;SBG;M;80+;I;0;0;0;0;0;0;12901
19. KW 2023;SBG;M;80+;N;3;0;0;0;11;14;12901
19. KW 2023;SBG;W;0 - 4;I;0;0;0;0;0;0;13602
19. KW 2023;SBG;W;0 - 4;N;0;0;0;0;1;1;13602
19. KW 2023;SBG;W;15 - 29;I;0;0;0;0;0;0;46786
19. KW 2023;SBG;W;15 - 29;N;0;0;0;0;0;0;46786
19. KW 2023;SBG;W;30 - 44;I;0;0;0;0;0;0;57406
19. KW 2023;SBG;W;30 - 44;N;0;0;0;0;0;0;57406
19. KW 2023;SBG;W;45 - 59;I;1;0;0;0;0;1;62089
19. KW 2023;SBG;W;45 - 59;N;1;0;0;0;2;3;62089
19. KW 2023;SBG;W;5 - 14;I;0;0;0;0;0;0;26886
19. KW 2023;SBG;W;5 - 14;N;0;0;0;0;0;0;26886
19. KW 2023;SBG;W;60 - 69;I;0;0;0;1;2;2;36905
19. KW 2023;SBG;W;60 - 69;N;0;0;0;0;0;0;36905
19. KW 2023;SBG;W;70 - 79;I;0;0;0;0;0;0;26554
19. KW 2023;SBG;W;70 - 79;N;0;0;0;0;3;3;26554
19. KW 2023;SBG;W;80+;I;1;0;0;0;0;1;19928
19. KW 2023;SBG;W;80+;N;4;0;0;0;10;13;19928
19. KW 2023;ST;M;0 - 4;I;0;0;0;0;0;0;28587
19. KW 2023;ST;M;0 - 4;N;0;1;0;0;10;11;28587
19. KW 2023;ST;M;15 - 29;I;0;0;0;0;0;0;107003
19. KW 2023;ST;M;15 - 29;N;1;0;0;0;3;4;107003
19. KW 2023;ST;M;30 - 44;I;0;0;0;0;1;1;128845
19. KW 2023;ST;M;30 - 44;N;0;0;0;0;2;2;128845
19. KW 2023;ST;M;45 - 59;I;0;0;0;0;0;0;138876
19. KW 2023;ST;M;45 - 59;N;1;0;0;0;5;6;138876
19. KW 2023;ST;M;5 - 14;I;0;0;0;0;0;0;59390
19. KW 2023;ST;M;5 - 14;N;0;0;0;0;2;2;59390
19. KW 2023;ST;M;60 - 69;I;0;0;0;0;0;0;81587
19. KW 2023;ST;M;60 - 69;N;1;1;0;0;9;11;81587
19. KW 2023;ST;M;70 - 79;I;0;0;0;0;3;3;49761
19. KW 2023;ST;M;70 - 79;N;6;0;0;1;25;32;49761
19. KW 2023;ST;M;80+;I;0;0;0;0;2;2;31466
19. KW 2023;ST;M;80+;N;7;0;0;1;24;32;31466
19. KW 2023;ST;W;0 - 4;I;0;0;0;0;0;0;27516
19. KW 2023;ST;W;0 - 4;N;1;0;0;0;8;9;27516
19. KW 2023;ST;W;15 - 29;I;0;0;0;0;0;0;98279
19. KW 2023;ST;W;15 - 29;N;0;0;0;0;0;0;98279
19. KW 2023;ST;W;30 - 44;I;0;0;0;0;0;0;122527
19. KW 2023;ST;W;30 - 44;N;0;0;0;0;1;1;122527
19. KW 2023;ST;W;45 - 59;I;0;0;0;0;0;0;137720
19. KW 2023;ST;W;45 - 59;N;0;0;0;0;4;4;137720
19. KW 2023;ST;W;5 - 14;I;0;0;0;0;0;0;55546
19. KW 2023;ST;W;5 - 14;N;0;0;0;0;1;1;55546
19. KW 2023;ST;W;60 - 69;I;0;0;0;1;1;2;86009
19. KW 2023;ST;W;60 - 69;N;1;0;0;0;7;8;86009
19. KW 2023;ST;W;70 - 79;I;0;0;0;0;0;0;60569
19. KW 2023;ST;W;70 - 79;N;2;0;0;1;15;17;60569
19. KW 2023;ST;W;80+;I;0;0;0;0;3;3;51517
19. KW 2023;ST;W;80+;N;7;0;0;1;36;44;51517
19. KW 2023;T;M;0 - 4;I;0;0;0;0;0;0;19426
19. KW 2023;T;M;0 - 4;N;0;0;0;0;8;8;19426
19. KW 2023;T;M;15 - 29;I;0;0;0;0;0;0;68738
19. KW 2023;T;M;15 - 29;N;0;0;0;0;1;1;68738
19. KW 2023;T;M;30 - 44;I;0;0;0;0;1;1;80055
19. KW 2023;T;M;30 - 44;N;0;1;0;0;2;3;80055
19. KW 2023;T;M;45 - 59;I;0;0;0;0;0;0;83366
19. KW 2023;T;M;45 - 59;N;1;0;0;0;3;4;83366
19. KW 2023;T;M;5 - 14;I;0;0;0;0;3;3;38244
19. KW 2023;T;M;5 - 14;N;0;0;0;0;1;1;38244
19. KW 2023;T;M;60 - 69;I;0;0;0;0;1;1;45032
19. KW 2023;T;M;60 - 69;N;0;0;0;0;13;13;45032
19. KW 2023;T;M;70 - 79;I;0;0;0;0;1;1;28179
