code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
A10-1952;1952;;1952;;;;;;
A10-1953;1953;;1953;;;;;;
A10-1954;1954;;1954;;;;;;
A10-1955;1955;;1955;;;;;;
A10-1956;1956;;1956;;;;;;
A10-1957;1957;;1957;;;;;;
A10-1958;1958;;1958;;;;;;
A10-1959;1959;;1959;;;;;;
A10-1960;1960;;1960;;;;;;
A10-1961;1961;;1961;;;;;;
A10-1962;1962;;1962;;;;;;
A10-1963;1963;;1963;;;;;;
A10-1964;1964;;1964;;;;;;
A10-1965;1965;;1965;;;;;;
A10-1966;1966;;1966;;;;;;
A10-1967;1967;;1967;;;;;;
A10-1968;1968;;1968;;;;;;
A10-1969;1969;;1969;;;;;;
A10-1970;1970;;1970;;;;;;
A10-1971;1971;;1971;;;;;;
A10-1972;1972;;1972;;;;;;
A10-1973;1973;;1973;;;;;;
A10-1974;1974;;1974;;;;;;
A10-1975;1975;;1975;;;;;;
A10-1976;1976;;1976;;;;;;
A10-1977;1977;;1977;;;;;;
A10-1978;1978;;1978;;;;;;
A10-1979;1979;;1979;;;;;;
A10-1980;1980;;1980;;;;;;
A10-1981;1981;;1981;;;;;;
A10-1982;1982;;1982;;;;;;
A10-1983;1983;;1983;;;;;;
A10-1984;1984;;1984;;;;;;
A10-1985;1985;;1985;;;;;;
A10-1986;1986;;1986;;;;;;
A10-1987;1987;;1987;;;;;;
A10-1988;1988;;1988;;;;;;
A10-1989;1989;;1989;;;;;;
A10-1990;1990;;1990;;;;;;
A10-1991;1991;;1991;;;;;;
A10-1992;1992;;1992;;;;;;
A10-1993;1993;;1993;;;;;;
A10-1994;1994;;1994;;;;;;
A10-1995;1995;;1995;;;;;;
A10-1996;1996;;1996;;;;;;
A10-1997;1997;;1997;;;;;;
A10-1998;1998;;1998;;;;;;
A10-1999;1999;;1999;;;;;;
A10-2000;2000;;2000;;;;;;
A10-2001;2001;;2001;;;;;;
A10-2002;2002;;2002;;;;;;
A10-2003;2003;;2003;;;;;;
A10-2004;2004;;2004;;;;;;
A10-2005;2005;;2005;;;;;;
A10-2006;2006;;2006;;;;;;
A10-2007;2007;;2007;;;;;;
A10-2008;2008;;2008;;;;;;
A10-2009;2009;;2009;;;;;;
A10-2010;2010;;2010;;;;;;
A10-2011;2011;;2011;;;;;;
A10-2012;2012;;2012;;;;;;
A10-2013;2013;;2013;;;;;;
A10-2014;2014;;2014;;;;;;
A10-2015;2015;;2015;;;;;;
A10-2016;2016;;2016;;;;;;
A10-2017;2017;;2017;;;;;;
A10-2018;2018;;2018;;;;;;
A10-2019;2019;;2019;;;;;;
A10-2020;2020;;2020;;;;;;
A10-2021;2021;;2021;;;;;;
A10-2022;2022;;2022;;;;;;
A10-2023;2023;;2023;;;;;;
A10-2024;2024;;2024;;;;;;
A10-2025;2025;;2025;;;;;;
A10-2026;2026;;2026;;;;;;
A10-2027;2027;;2027;;;;;;
A10-2028;2028;;2028;;;;;;
A10-2029;2029;;2029;;;;;;
A10-2030;2030;;2030;;;;;;
A10-2031;2031;;2031;;;;;;
A10-2032;2032;;2032;;;;;;
A10-2033;2033;;2033;;;;;;
A10-2034;2034;;2034;;;;;;
A10-2035;2035;;2035;;;;;;
A10-2036;2036;;2036;;;;;;
A10-2037;2037;;2037;;;;;;
A10-2038;2038;;2038;;;;;;
A10-2039;2039;;2039;;;;;;
A10-2040;2040;;2040;;;;;;
A10-2041;2041;;2041;;;;;;
A10-2042;2042;;2042;;;;;;
A10-2043;2043;;2043;;;;;;
A10-2044;2044;;2044;;;;;;
A10-2045;2045;;2045;;;;;;
A10-2046;2046;;2046;;;;;;
A10-2047;2047;;2047;;;;;;
A10-2048;2048;;2048;;;;;;
A10-2049;2049;;2049;;;;;;
A10-2050;2050;;2050;;;;;;
A10-2051;2051;;2051;;;;;;
A10-2052;2052;;2052;;;;;;
A10-2053;2053;;2053;;;;;;
A10-2054;2054;;2054;;;;;;
A10-2055;2055;;2055;;;;;;
A10-2056;2056;;2056;;;;;;
A10-2057;2057;;2057;;;;;;
A10-2058;2058;;2058;;;;;;
A10-2059;2059;;2059;;;;;;
A10-2060;2060;;2060;;;;;;
A10-2061;2061;;2061;;;;;;
A10-2062;2062;;2062;;;;;;
A10-2063;2063;;2063;;;;;;
A10-2064;2064;;2064;;;;;;
A10-2065;2065;;2065;;;;;;
A10-2066;2066;;2066;;;;;;
A10-2067;2067;;2067;;;;;;
A10-2068;2068;;2068;;;;;;
A10-2069;2069;;2069;;;;;;
A10-2070;2070;;2070;;;;;;
A10-2071;2071;;2071;;;;;;
A10-2072;2072;;2072;;;;;;
A10-2073;2073;;2073;;;;;;
A10-2074;2074;;2074;;;;;;
A10-2075;2075;;2075;;;;;;
A10-2076;2076;;2076;;;;;;
A10-2077;2077;;2077;;;;;;
A10-2078;2078;;2078;;;;;;
A10-2079;2079;;2079;;;;;;
A10-2080;2080;;2080;;;;;;
A10-2081;2081;;2081;;;;;;
A10-2082;2082;;2082;;;;;;
A10-2083;2083;;2083;;;;;;
A10-2084;2084;;2084;;;;;;
A10-2085;2085;;2085;;;;;;
A10-2086;2086;;2086;;;;;;
A10-2087;2087;;2087;;;;;;
A10-2088;2088;;2088;;;;;;
A10-2089;2089;;2089;;;;;;
A10-2090;2090;;2090;;;;;;
A10-2091;2091;;2091;;;;;;
A10-2092;2092;;2092;;;;;;
A10-2093;2093;;2093;;;;;;
A10-2094;2094;;2094;;;;;;
A10-2095;2095;;2095;;;;;;
A10-2096;2096;;2096;;;;;;
A10-2097;2097;;2097;;;;;;
A10-2098;2098;;2098;;;;;;
A10-2099;2099;;2099;;;;;;
A10-2100;2100;;2100;;;;;;
