code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GALT5J99-1;bis 4 Jahre;;up to 4 years old;;;;;;
GALT5J99-2;5 bis 9 Jahre;;5 to 9 years old;;;;;;
GALT5J99-3;10 bis 14 Jahre;;10 to 14 years old;;;;;;
GALT5J99-4;15 bis 19 Jahre;;15 to 19 years old;;;;;;
GALT5J99-5;20 bis 24 Jahre;;20 to 24 years old;;;;;;
GALT5J99-6;25 bis 29 Jahre;;25 to 29 years old;;;;;;
GALT5J99-7;30 bis 34 Jahre;;30 to 34 years old;;;;;;
GALT5J99-8;35 bis 39 Jahre;;35 to 39 years old;;;;;;
GALT5J99-9;40 bis 44 Jahre;;40 to 44 years old;;;;;;
GALT5J99-10;45 bis 49 Jahre;;45 to 49 years old;;;;;;
GALT5J99-11;50 bis 54 Jahre;;50 to 54 years old;;;;;;
GALT5J99-12;55 bis 59 Jahre;;55 to 59 years old;;;;;;
GALT5J99-13;60 bis 64 Jahre;;60 to 64 years old;;;;;;
GALT5J99-14;65 bis 69 Jahre;;65 to 69 years old;;;;;;
GALT5J99-15;70 bis 74 Jahre;;70 to 74 years old;;;;;;
GALT5J99-16;75 bis 79 Jahre;;75 to 79 years old;;;;;;
GALT5J99-17;80 bis 84 Jahre;;80 to 84 years old;;;;;;
GALT5J99-18;85 bis 89 Jahre;;85 to 89 years old;;;;;;
GALT5J99-19;90 bis 94 Jahre;;90 to 94 years old;;;;;;
GALT5J99-20;95 Jahre und älter;;95 plus years old;;;;;;
