C-KALWOCHE-0;C-BLWO-0;C-SEXWO-0;F-ANZ-1;F-RATE-1
KALW-200001;BLWO-0;SEXWO-0;1867,000;0,306
KALW-200001;BLWO-0;SEXWO-1;814,000;0,379
KALW-200001;BLWO-0;SEXWO-2;1053,000;0,261
KALW-200001;BLWO-1;SEXWO-0;68,000;0,297
KALW-200001;BLWO-1;SEXWO-1;33,000;0,398
KALW-200001;BLWO-1;SEXWO-2;35,000;0,235
KALW-200001;BLWO-2;SEXWO-0;115,000;0,267
KALW-200001;BLWO-2;SEXWO-1;39,000;0,236
KALW-200001;BLWO-2;SEXWO-2;76,000;0,276
KALW-200001;BLWO-3;SEXWO-0;408,000;0,341
KALW-200001;BLWO-3;SEXWO-1;183,000;0,439
KALW-200001;BLWO-3;SEXWO-2;225,000;0,285
KALW-200001;BLWO-4;SEXWO-0;272,000;0,286
KALW-200001;BLWO-4;SEXWO-1;110,000;0,346
KALW-200001;BLWO-4;SEXWO-2;162,000;0,256
KALW-200001;BLWO-5;SEXWO-0;81,000;0,243
KALW-200001;BLWO-5;SEXWO-1;35,000;0,351
KALW-200001;BLWO-5;SEXWO-2;46,000;0,200
KALW-200001;BLWO-6;SEXWO-0;256,000;0,273
KALW-200001;BLWO-6;SEXWO-1;128,000;0,364
KALW-200001;BLWO-6;SEXWO-2;128,000;0,215
KALW-200001;BLWO-7;SEXWO-0;117,000;0,257
KALW-200001;BLWO-7;SEXWO-1;56,000;0,334
KALW-200001;BLWO-7;SEXWO-2;61,000;0,213
KALW-200001;BLWO-8;SEXWO-0;55,000;0,251
KALW-200001;BLWO-8;SEXWO-1;20,000;0,229
KALW-200001;BLWO-8;SEXWO-2;35,000;0,252
KALW-200001;BLWO-9;SEXWO-0;495,000;0,367
KALW-200001;BLWO-9;SEXWO-1;210,000;0,467
KALW-200001;BLWO-9;SEXWO-2;285,000;0,304
KALW-200002;BLWO-0;SEXWO-0;1902,000;0,314
KALW-200002;BLWO-0;SEXWO-1;840,000;0,402
KALW-200002;BLWO-0;SEXWO-2;1062,000;0,265
KALW-200002;BLWO-1;SEXWO-0;91,000;0,456
KALW-200002;BLWO-1;SEXWO-1;38,000;0,518
KALW-200002;BLWO-1;SEXWO-2;53,000;0,406
KALW-200002;BLWO-2;SEXWO-0;107,000;0,240
KALW-200002;BLWO-2;SEXWO-1;49,000;0,269
KALW-200002;BLWO-2;SEXWO-2;58,000;0,208
KALW-200002;BLWO-3;SEXWO-0;404,000;0,344
KALW-200002;BLWO-3;SEXWO-1;179,000;0,438
KALW-200002;BLWO-3;SEXWO-2;225,000;0,287
KALW-200002;BLWO-4;SEXWO-0;258,000;0,275
KALW-200002;BLWO-4;SEXWO-1;123,000;0,415
KALW-200002;BLWO-4;SEXWO-2;135,000;0,216
KALW-200002;BLWO-5;SEXWO-0;95,000;0,275
KALW-200002;BLWO-5;SEXWO-1;39,000;0,315
KALW-200002;BLWO-5;SEXWO-2;56,000;0,251
KALW-200002;BLWO-6;SEXWO-0;284,000;0,299
KALW-200002;BLWO-6;SEXWO-1;131,000;0,369
KALW-200002;BLWO-6;SEXWO-2;153,000;0,253
KALW-200002;BLWO-7;SEXWO-0;109,000;0,245
KALW-200002;BLWO-7;SEXWO-1;56,000;0,331
KALW-200002;BLWO-7;SEXWO-2;53,000;0,190
KALW-200002;BLWO-8;SEXWO-0;63,000;0,300
KALW-200002;BLWO-8;SEXWO-1;33,000;0,527
KALW-200002;BLWO-8;SEXWO-2;30,000;0,219
KALW-200002;BLWO-9;SEXWO-0;491,000;0,361
KALW-200002;BLWO-9;SEXWO-1;192,000;0,450
KALW-200002;BLWO-9;SEXWO-2;299,000;0,314
KALW-200003;BLWO-0;SEXWO-0;2027,000;0,333
KALW-200003;BLWO-0;SEXWO-1;886,000;0,407
KALW-200003;BLWO-0;SEXWO-2;1141,000;0,284
KALW-200003;BLWO-1;SEXWO-0;66,000;0,314
KALW-200003;BLWO-1;SEXWO-1;27,000;0,335
KALW-200003;BLWO-1;SEXWO-2;39,000;0,285
KALW-200003;BLWO-2;SEXWO-0;136,000;0,313
KALW-200003;BLWO-2;SEXWO-1;68,000;0,433
KALW-200003;BLWO-2;SEXWO-2;68,000;0,240
KALW-200003;BLWO-3;SEXWO-0;451,000;0,380
KALW-200003;BLWO-3;SEXWO-1;200,000;0,452
KALW-200003;BLWO-3;SEXWO-2;251,000;0,324
KALW-200003;BLWO-4;SEXWO-0;288,000;0,301
KALW-200003;BLWO-4;SEXWO-1;140,000;0,413
KALW-200003;BLWO-4;SEXWO-2;148,000;0,238
KALW-200003;BLWO-5;SEXWO-0;116,000;0,337
KALW-200003;BLWO-5;SEXWO-1;54,000;0,413
KALW-200003;BLWO-5;SEXWO-2;62,000;0,283
KALW-200003;BLWO-6;SEXWO-0;282,000;0,310
KALW-200003;BLWO-6;SEXWO-1;129,000;0,399
KALW-200003;BLWO-6;SEXWO-2;153,000;0,258
KALW-200003;BLWO-7;SEXWO-0;122,000;0,270
KALW-200003;BLWO-7;SEXWO-1;50,000;0,303
KALW-200003;BLWO-7;SEXWO-2;72,000;0,250
KALW-200003;BLWO-8;SEXWO-0;72,000;0,321
KALW-200003;BLWO-8;SEXWO-1;30,000;0,323
KALW-200003;BLWO-8;SEXWO-2;42,000;0,293
KALW-200003;BLWO-9;SEXWO-0;494,000;0,361
KALW-200003;BLWO-9;SEXWO-1;188,000;0,426
KALW-200003;BLWO-9;SEXWO-2;306,000;0,321
KALW-200004;BLWO-0;SEXWO-0;1940,000;0,320
KALW-200004;BLWO-0;SEXWO-1;864,000;0,405
KALW-200004;BLWO-0;SEXWO-2;1076,000;0,267
KALW-200004;BLWO-1;SEXWO-0;75,000;0,355
KALW-200004;BLWO-1;SEXWO-1;33,000;0,442
KALW-200004;BLWO-1;SEXWO-2;42,000;0,296
KALW-200004;BLWO-2;SEXWO-0;130,000;0,294
