code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
BLWO-0;Österreich;;Austria;;;;;;
BLWO-1;Burgenland <AT11>;;Burgenland <AT11>;;;;;;
BLWO-2;Kärnten <AT21>;;Carinthia <AT21>;;;;;;
BLWO-3;Niederösterreich <AT12>;;Lower Austria <AT12>;;;;;;
BLWO-4;Oberösterreich <AT31>;;Upper Austria <AT31>;;;;;;
BLWO-5;Salzburg <AT32>;;Salzburg <AT32>;;;;;;
BLWO-6;Steiermark <AT22>;;Styria <AT22>;;;;;;
BLWO-7;Tirol <AT33>;;Tyrol <AT33>;;;;;;
BLWO-8;Vorarlberg <AT34>;;Vorarlberg <AT34>;;;;;;
BLWO-9;Wien <AT13>;;Vienna <AT13>;;;;;;
