code;name;FK;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
KALJ-2000;Kalenderjahr 2000;;Calendar year 2000;;;;;;
KALJ-2001;Kalenderjahr 2001;;Calendar year 2001;;;;;;
KALJ-2002;Kalenderjahr 2002;;Calendar year 2002;;;;;;
KALJ-2003;Kalenderjahr 2003;;Calendar year 2003;;;;;;
KALJ-2004;Kalenderjahr 2004;;Calendar year 2004;;;;;;
KALJ-2005;Kalenderjahr 2005;;Calendar year 2005;;;;;;
KALJ-2006;Kalenderjahr 2006;;Calendar year 2006;;;;;;
KALJ-2007;Kalenderjahr 2007;;Calendar year 2007;;;;;;
KALJ-2008;Kalenderjahr 2008;;Calendar year 2008;;;;;;
KALJ-2009;Kalenderjahr 2009;;Calendar year 2009;;;;;;
KALJ-2010;Kalenderjahr 2010;;Calendar year 2010;;;;;;
KALJ-2011;Kalenderjahr 2011;;Calendar year 2011;;;;;;
KALJ-2012;Kalenderjahr 2012;;Calendar year 2012;;;;;;
KALJ-2013;Kalenderjahr 2013;;Calendar year 2013;;;;;;
KALJ-2014;Kalenderjahr 2014;;Calendar year 2014;;;;;;
KALJ-2015;Kalenderjahr 2015;;Calendar year 2015;;;;;;
KALJ-2016;Kalenderjahr 2016;;Calendar year 2016;;;;;;
KALJ-2017;Kalenderjahr 2017;;Calendar year 2017;;;;;;
KALJ-2018;Kalenderjahr 2018;;Calendar year 2018;;;;;;
KALJ-2019;Kalenderjahr 2019;;Calendar year 2019;;;;;;
KALJ-2020;Kalenderjahr 2020;;Calendar year 2020;;;;;;
KALJ-2021;Kalenderjahr 2021;;Calendar year 2021;;;;;;
KALJ-2022;Kalenderjahr 2022;;Calendar year 2022;;;;;;
KALJ-2023;Kalenderjahr 2023;;Calendar year 2023;;;;;;
KALW-200001;1. Kalenderwoche 2000 (Woche von 3.1.2000 bis 9.1.2000);KALJ-2000;1. Calendar week 2000 (week from 3.1.2000 to 9.1.2000);;;;;;
KALW-200002;2. Kalenderwoche 2000 (Woche von 10.1.2000 bis 16.1.2000);KALJ-2000;2. Calendar week 2000 (week from 10.1.2000 to 16.1.2000);;;;;;
KALW-200003;3. Kalenderwoche 2000 (Woche von 17.1.2000 bis 23.1.2000);KALJ-2000;3. Calendar week 2000 (week from 17.1.2000 to 23.1.2000);;;;;;
KALW-200004;4. Kalenderwoche 2000 (Woche von 24.1.2000 bis 30.1.2000);KALJ-2000;4. Calendar week 2000 (week from 24.1.2000 to 30.1.2000);;;;;;
KALW-200005;5. Kalenderwoche 2000 (Woche von 31.1.2000 bis 6.2.2000);KALJ-2000;5. Calendar week 2000 (week from 31.1.2000 to 6.2.2000);;;;;;
KALW-200006;6. Kalenderwoche 2000 (Woche von 7.2.2000 bis 13.2.2000);KALJ-2000;6. Calendar week 2000 (week from 7.2.2000 to 13.2.2000);;;;;;
KALW-200007;7. Kalenderwoche 2000 (Woche von 14.2.2000 bis 20.2.2000);KALJ-2000;7. Calendar week 2000 (week from 14.2.2000 to 20.2.2000);;;;;;
KALW-200008;8. Kalenderwoche 2000 (Woche von 21.2.2000 bis 27.2.2000);KALJ-2000;8. Calendar week 2000 (week from 21.2.2000 to 27.2.2000);;;;;;
KALW-200009;9. Kalenderwoche 2000 (Woche von 28.2.2000 bis 5.3.2000);KALJ-2000;9. Calendar week 2000 (week from 28.2.2000 to 5.3.2000);;;;;;
KALW-200010;10. Kalenderwoche 2000 (Woche von 6.3.2000 bis 12.3.2000);KALJ-2000;10. Calendar week 2000 (week from 6.3.2000 to 12.3.2000);;;;;;
KALW-200011;11. Kalenderwoche 2000 (Woche von 13.3.2000 bis 19.3.2000);KALJ-2000;11. Calendar week 2000 (week from 13.3.2000 to 19.3.2000);;;;;;
KALW-200012;12. Kalenderwoche 2000 (Woche von 20.3.2000 bis 26.3.2000);KALJ-2000;12. Calendar week 2000 (week from 20.3.2000 to 26.3.2000);;;;;;
